Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Peptides 2	Razor + unique peptides 1	Razor + unique peptides 2	Unique peptides 1	Unique peptides 2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 11	Q-value	Score	Sequence coverage 1 [%]	Sequence coverage 2 [%]	Intensity	Intensity 1	Intensity 2	iBAQ	iBAQ 1	iBAQ 2	LFQ intensity 1	LFQ intensity 2	MS/MS count 1	MS/MS count 2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.10.960:mRNA-p1;Tb11.v5.0631.1-p1	Tb927.10.960:mRNA-p1;Tb11.v5.0631.1-p1	1;1	1;1	1;1	Tb927.10.960:mRNA-p1 | transcript=Tb927.10.960:mRNA | gene=Tb927.10.960 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=U4/U6-specific protein PRP4 | transcript_product=U4/U6-specific protein PRP4 | location=Tb927_10_v5.1:260318-262147(+) | pro	2	1	1	1	0	1	0	1	0	1	1.5	1.5	1.5	65.488	609	609;609	11		1	0	5.9884	0	1.5	21299000	0	21299000	734450	0	734450	0	21299000	0	1	1				10	47	True	47	94	103	103		
Tb927.10.8650:mRNA-p1;Tb11.v5.0707.1-p1	Tb927.10.8650:mRNA-p1;Tb11.v5.0707.1-p1	1;1	1;1	1;1	Tb927.10.8650:mRNA-p1 | transcript=Tb927.10.8650:mRNA | gene=Tb927.10.8650 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ran binding protein, putative | transcript_product=ran binding protein, putative | location=Tb927_10_v5.1:2141183-2142196	2	1	1	1	0	1	0	1	0	1	3.3	3.3	3.3	34.723	337	337;338	11		1	0	6.8826	0	3.3	0	0	0	0	0	0	0	0	0	1	1				11	64	True	64	117	127	127		
Tb11.v5.0732.1-p1;Tb927.10.2020:mRNA-p1;Tb927.10.2010:mRNA-p1	Tb11.v5.0732.1-p1;Tb927.10.2020:mRNA-p1;Tb927.10.2010:mRNA-p1	2;2;2	2;2;2	2;2;2	Tb11.v5.0732.1-p1 | transcript=Tb11.v5.0732.1 | gene=Tb11.v5.0732 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hexokinase, putative | transcript_product=hexokinase, putative | location=Tb927_11_bin_v5.1:3757988-3759238(-) | protein_length=41	3	2	2	2	1	1	1	1	1	1	5.3	5.3	5.3	44.814	416	416;471;471	6	1	1	0	12.426	2.2	3.1	711750	179390	532360	28470	7175.7	21294	0	532360	1	0	1				12	25;61	True;True	25;61	49;114	51;124	51;124		
Tb11.v5.0750.1-p1;Tb927.10.740:mRNA-p1	Tb11.v5.0750.1-p1;Tb927.10.740:mRNA-p1	1;1	1;1	1;1	Tb11.v5.0750.1-p1 | transcript=Tb11.v5.0750.1 | gene=Tb11.v5.0750 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=dual specificity protein phosphatase, putative | transcript_product=dual specificity protein phosphatase, putative | location=Tb92	2	1	1	1	1	0	1	0	1	0	4.4	4.4	4.4	64.992	586	586;1366	1	1		0	5.7809	4.4	0	1163100	1163100	0	40106	40106	0	1335500	0	1	0	1				13	36	True	36	71	79	79		
Tb11.v5.0909.1-p1;Tb927.5.4870:pseudogenic_transcript-p1	Tb11.v5.0909.1-p1;Tb927.5.4870:pseudogenic_transcript-p1	1;1	1;1	1;1	Tb11.v5.0909.1-p1 | transcript=Tb11.v5.0909.1 | gene=Tb11.v5.0909 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG, atypical), putative | transcript_product=variant surface glycoprotein (VSG, atypical), putative	2	1	1	1	0	1	0	1	0	1	3.2	3.2	3.2	27.526	248	248;452	11		1	0	16.472	0	3.2	30706000	0	30706000	2047100	0	2047100	0	30706000	0	1	1				14	7	True	7	17	18	18		
Tb927.11.11330:mRNA-p1;Tb11.v5.1035.1-p1;Tb11.v5.1034.1-p1;Tb927.11.11290:mRNA-p1	Tb927.11.11330:mRNA-p1;Tb11.v5.1035.1-p1	5;5;1;1	5;5;1;1	4;4;1;1	Tb927.11.11330:mRNA-p1 | transcript=Tb927.11.11330:mRNA | gene=Tb927.11.11330 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=heat shock protein 70 | transcript_product=heat shock protein 70 | location=Tb927_11_v5.1:3028681-3030666(+) | protein	4	5	5	4	2	5	2	5	1	4	7.3	7.3	6.1	71.408	661	661;689;203;676	8.14	2	5	0	30.953	3.2	7.3	4763300	1194100	3569200	140100	35120	104980	2869800	2070400	2	4	6				15	22;82;84;111;118	True;True;True;True;True	22;82;84;112;119	46;160;162;163;227;228;245	48;188;190;191;263;264;283	48;188;191;263;283		
Tb927.10.2110:mRNA-p1;Tb927.10.2100:mRNA-p1;Tb927.10.2090:mRNA-p1;Tb11.v5.1046.1-p1	Tb927.10.2110:mRNA-p1;Tb927.10.2100:mRNA-p1;Tb927.10.2090:mRNA-p1;Tb11.v5.1046.1-p1	3;3;3;3	3;3;3;3	3;3;3;3	Tb927.10.2110:mRNA-p1 | transcript=Tb927.10.2110:mRNA | gene=Tb927.10.2110 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=elongation factor 1-alpha | transcript_product=elongation factor 1-alpha | location=Tb927_10_v5.1:549417-550766(+) | prot	4	3	3	3	2	1	2	1	2	1	6	6	6	49.105	449	449;449;449;449	4.75	5	3	0	55.549	3.6	2.4	5439100	3684200	1754900	226630	153510	73122	4230300	0	5	4	9				16	57;72;96	True;True;True	57;72;96	108;109;110;134;135;136;137;177	117;118;119;120;145;146;147;148;206	120;148;206		
Tb927.3.4330:mRNA-p1;Tb927.3.4320:mRNA-p1;Tb927.3.4310:mRNA-p1;Tb927.3.4300:mRNA-p1;Tb927.3.4290:mRNA-p1;Tb11.v5.1055.1-p1	Tb927.3.4330:mRNA-p1;Tb927.3.4320:mRNA-p1;Tb927.3.4310:mRNA-p1;Tb927.3.4300:mRNA-p1;Tb927.3.4290:mRNA-p1;Tb11.v5.1055.1-p1	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Tb927.3.4330:mRNA-p1 | transcript=Tb927.3.4330:mRNA | gene=Tb927.3.4330 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Paraflagellar rod protein 1-5 | transcript_product=Paraflagellar rod protein 1-5 | location=Tb927_03_v5.1:1217516-1219285(-)	6	1	1	1	1	1	1	1	1	1	1.9	1.9	1.9	68.682	589	589;589;589;589;589;589	6	1	1	0	8.1801	1.9	1.9	797010	414240	382780	28465	14794	13671	0	382780	1	1	2				17	2	True	2	2;3	2;3	3		
Tb427.BES40.22;Tb10.v4.0168:pseudogenic_transcript-p1	Tb427.BES40.22	24;2	24;2	24;2	Tb427.BES40.22  | Trypanosoma brucei Lister strain 427 | variant surface glycoprotein (VSG) (VSG 427-2) | protein  | length=476	2	24	24	24	18	18	18	18	18	18	51.7	51.7	51.7	51.041	476	476;496	7.61	21	41	0	323.31	39.9	38	127320000	56861000	70464000	4244200	1895400	2348800	69423000	63010000	26	49	75				18	4;6;8;10;15;19;20;23;34;55;56;63;65;69;71;73;76;77;85;90;92;113;124;125	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	4;6;8;10;15;19;20;23;34;55;56;63;65;69;71;73;76;77;85;90;92;114;125;126	5;6;7;8;9;11;12;13;14;15;16;18;19;20;22;23;24;25;26;27;28;29;30;35;40;41;42;43;44;47;67;68;69;106;107;116;118;119;120;121;126;127;128;131;132;133;138;139;140;151;152;153;164;165;170;172;173;230;231;258;259;260	6;7;8;9;10;12;13;14;15;16;17;19;20;21;22;24;25;26;27;28;29;30;31;32;37;42;43;44;45;46;49;72;73;74;75;76;77;115;116;126;128;129;130;131;136;137;138;139;142;143;144;149;150;151;152;153;154;155;156;157;158;159;176;177;178;179;180;181;192;193;198;200;201;202;266;267;297;298;299	6;17;19;32;37;43;45;49;76;115;116;126;131;139;143;150;177;180;192;198;202;266;297;299		
Tb927.10.11980:mRNA-p1	Tb927.10.11980:mRNA-p1	1	1	1	Tb927.10.11980:mRNA-p1 | transcript=Tb927.10.11980:mRNA | gene=Tb927.10.11980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=QA-SNARE protein putative | transcript_product=QA-SNARE protein putative | location=Tb927_10_v5.1:2917534-2918391(+) |	1	1	1	1	1	0	1	0	1	0	3.2	3.2	3.2	32.799	285	285	1	1		0	6.3586	3.2	0	56368000	56368000	0	2966700	2966700	0	64724000	0	1	0	1				19	40	True	40	81	89	89		
Tb927.10.12710:mRNA-p1	Tb927.10.12710:mRNA-p1	1	1	1	Tb927.10.12710:mRNA-p1 | transcript=Tb927.10.12710:mRNA | gene=Tb927.10.12710 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Tb927_10_v5.1:308559	1	1	1	1	0	1	0	1	0	1	1.7	1.7	1.7	90.863	811	811	11		1	0	5.7994	0	1.7	540420	0	540420	12282	0	12282	0	540420	0	1	1				20	38	True	38	73	81	81		
Tb927.10.15770:mRNA-p1	Tb927.10.15770:mRNA-p1	1	1	1	Tb927.10.15770:mRNA-p1 | transcript=Tb927.10.15770:mRNA | gene=Tb927.10.15770 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:3897950-	1	1	1	1	0	1	0	1	0	1	2.2	2.2	2.2	50.59	464	464	11		1	0	5.9285	0	2.2	12039000	0	12039000	547240	0	547240	0	12039000	0	1	1				21	112	True	113	229	265	265		
Tb927.10.2580:mRNA-p1	Tb927.10.2580:mRNA-p1	1	1	1	Tb927.10.2580:mRNA-p1 | transcript=Tb927.10.2580:mRNA | gene=Tb927.10.2580 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Nucleolar protein 12 (25kDa), putative | transcript_product=Nucleolar protein 12 (25kDa), putative | location=Tb927_10_v5	1	1	1	1	0	1	0	1	0	1	2.7	2.7	2.7	33.249	294	294	11		1	0	5.8967	0	2.7	12339000	0	12339000	1371000	0	1371000	0	12339000	0	1	1				22	5	True	5	10	11	11		
Tb927.10.6510:mRNA-p1;Tb927.10.6400:mRNA-p1	Tb927.10.6510:mRNA-p1;Tb927.10.6400:mRNA-p1	1;1	1;1	1;1	Tb927.10.6510:mRNA-p1 | transcript=Tb927.10.6510:mRNA | gene=Tb927.10.6510 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=chaperonin HSP60, mitochondrial precursor | transcript_product=chaperonin HSP60, mitochondrial precursor | location=Tb927	2	1	1	1	1	1	1	1	1	1	1.4	1.4	1.4	59.503	562	562;562	6	1	1	0	6.0316	1.4	1.4	1236200	555570	680670	37462	16836	20626	0	680670	1	1	2				23	26	True	26	50;51	52;53	52		
Tb927.11.11680:mRNA-p1	Tb927.11.11680:mRNA-p1	1	1	1	Tb927.11.11680:mRNA-p1 | transcript=Tb927.11.11680:mRNA | gene=Tb927.11.11680 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=2-oxoglutarate dehydrogenase E2 component, putative | transcript_product=2-oxoglutarate dehydrogenase E2 component, pu	1	1	1	1	0	1	0	1	0	1	2.3	2.3	2.3	41.143	383	383	11		1	0	5.8651	0	2.3	325430	0	325430	18079	0	18079	0	325430	0	1	1				24	11	True	11	31	33	33		
Tb927.11.11750.1-p1;Tb927.11.11740:mRNA-p1	Tb927.11.11750.1-p1;Tb927.11.11740:mRNA-p1	2;2	2;2	2;2	Tb927.11.11750.1-p1 | transcript=Tb927.11.11750.1 | gene=Tb927.11.11750 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=membrane-bound acid phosphatase, putative | transcript_product=membrane-bound acid phosphatase, putative | location=Tb927_11	2	2	2	2	2	0	2	0	2	0	4	4	4	53.348	495	495;500	1	2		0	11.859	4	0	881710	881710	0	51865	51865	0	1012400	0	2	0	2				25	21;67	True;True	21;67	45;123	47;133	47;133		
Tb927.11.13370:mRNA-p1	Tb927.11.13370:mRNA-p1	1	1	1	Tb927.11.13370:mRNA-p1 | transcript=Tb927.11.13370:mRNA | gene=Tb927.11.13370 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:3584049-	1	1	1	1	1	1	1	1	1	1	2.5	2.5	2.5	31.791	282	282	6	1	1	0	7.0812	2.5	2.5	38974000	7645700	31328000	2435800	477860	1958000	0	31328000	1	1	2				26	52	True	52	101;102	110;111	110		
Tb927.11.5980:mRNA-p1	Tb927.11.5980:mRNA-p1	1	1	1	Tb927.11.5980:mRNA-p1 | transcript=Tb927.11.5980:mRNA | gene=Tb927.11.5980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=conserved protein | transcript_product=conserved protein | location=Tb927_11_v5.1:1696199-1697353(-) | protein_length=384	1	1	1	1	1	0	1	0	1	0	2.6	2.6	2.6	44.417	384	384	1	1		0	14.161	2.6	0	0	0	0	0	0	0	0	0	1	0	1				27	12	True	12	32	34	34		
Tb927.11.6970.2:mRNA-p1	Tb927.11.6970.2:mRNA-p1	1	1	1	Tb927.11.6970.2:mRNA-p1 | transcript=Tb927.11.6970.2:mRNA | gene=Tb927.11.6970 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=NADH-cytochrome b5 reductase-like protein | transcript_product=NADH-cytochrome b5 reductase-like protein | location=T	1	1	1	1	1	0	1	0	1	0	7.5	7.5	7.5	44.136	388	388	1	1		0	5.8561	7.5	0	311990	311990	0	14182	14182	0	358240	0	1	0	1				28	78	True	78	154	182	182		
Tb927.11.7370:mRNA-p1	Tb927.11.7370:mRNA-p1	1	1	1	Tb927.11.7370:mRNA-p1 | transcript=Tb927.11.7370:mRNA | gene=Tb927.11.7370 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=haloacid dehalogenase hydrolase, putative | transcript_product=haloacid dehalogenase hydrolase, putative | location=Tb927	1	1	1	1	1	0	1	0	1	0	2.2	2.2	2.2	34.495	312	312	1	1		0	7.1623	2.2	0	2804000	2804000	0	186940	186940	0	3219700	0	1	0	1				29	80	True	80	157	185	185		
Tb927.2.4200:mRNA-p1	Tb927.2.4200:mRNA-p1	1	1	1	Tb927.2.4200:mRNA-p1 | transcript=Tb927.2.4200:mRNA | gene=Tb927.2.4200 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=CMGC/CLK family protein kinase, putative | transcript_product=CMGC/CLK family protein kinase, putative | location=Tb927_02_v	1	1	1	1	0	1	0	1	0	1	1	1	1	113.33	1037	1037	11		2	0	9.6705	0	1	14010000	0	14010000	245790	0	245790	0	12039000	0	8	8				30	74	True	74	141;142	160;161;162;163;164;165;166;167	160		
Tb927.3.3670:mRNA-p1	Tb927.3.3670:mRNA-p1	1	1	1	Tb927.3.3670:mRNA-p1 | transcript=Tb927.3.3670:mRNA | gene=Tb927.3.3670 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Triple RNA binding domain protein 3 | transcript_product=Triple RNA binding domain protein 3 | location=Tb927_03_v5.1:102714	1	1	1	1	1	0	1	0	1	0	1.1	1.1	1.1	66.931	623	623	1	1		0	5.9176	1.1	0	1551400	1551400	0	59670	59670	0	1781400	0	1	0	1				31	119	True	120	246	284	284		
Tb927.3.5340:mRNA-p1	Tb927.3.5340:mRNA-p1	1	1	1	Tb927.3.5340:mRNA-p1 | transcript=Tb927.3.5340:mRNA | gene=Tb927.3.5340 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Hsc70-interacting protein (Hip), putative | transcript_product=Hsc70-interacting protein (Hip), putative | location=Tb927_03	1	1	1	1	0	1	0	1	0	1	2.9	2.9	2.9	42.028	384	384	11		1	0	6.9211	0	2.9	0	0	0	0	0	0	0	0	0	1	1				32	0	True	0	0	0	0		
Tb927.5.5420.1-p1	Tb927.5.5420.1-p1	1	1	1	Tb927.5.5420.1-p1 | transcript=Tb927.5.5420.1 | gene=Tb927.5.5420 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Variant Surface Glycoprotein, putative | transcript_product=Variant Surface Glycoprotein, putative | location=Tb927_05_v5.1:169359	1	1	1	1	1	0	1	0	1	0	1.8	1.8	1.8	49.062	451	451	1	1		0	5.952	1.8	0	4945700	4945700	0	224810	224810	0	5678900	0	1	0	1				33	16	True	16	36	38	38		
Tb927.5.5580.1-p1	Tb927.5.5580.1-p1	1	1	1	Tb927.5.5580.1-p1 | transcript=Tb927.5.5580.1 | gene=Tb927.5.5580 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Variant Surface Glycoprotein, putative | transcript_product=Variant Surface Glycoprotein, putative | location=Tb927_05_v5.1:175448	1	1	1	1	1	0	1	0	1	0	1.9	1.9	1.9	52.898	481	481	1	1		0	6.115	1.9	0	0	0	0	0	0	0	0	0	1	0	1				34	91	True	91	171	199	199		
Tb927.6.1880:mRNA-p1	Tb927.6.1880:mRNA-p1	1	1	1	Tb927.6.1880:mRNA-p1 | transcript=Tb927.6.1880:mRNA | gene=Tb927.6.1880 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=aspartyl-tRNA synthetase, putative | transcript_product=aspartyl-tRNA synthetase, putative | location=Tb927_06_v5.1:623938-6	1	1	1	1	1	0	1	0	1	0	1.6	1.6	1.6	62.989	560	560	1	6		0	9.495	1.6	0	1245900	1245900	0	38936	38936	0	671470	0	7	0	7				35	120	True	121	247;248;249;250;251;252	285;286;287;288;289;290;291	290		
