Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Peptides 2	Razor + unique peptides 1	Razor + unique peptides 2	Unique peptides 1	Unique peptides 2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 11	Fraction 12	Fraction 13	Q-value	Score	Identification type 1	Identification type 2	Sequence coverage 1 [%]	Sequence coverage 2 [%]	Intensity	Intensity 1	Intensity 2	iBAQ	iBAQ 1	iBAQ 2	LFQ intensity 1	LFQ intensity 2	MS/MS count 1	MS/MS count 2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.5.4470:mRNA-p1;Tb05.5K5.120:mRNA-p1	Tb927.5.4470:mRNA-p1;Tb05.5K5.120:mRNA-p1	3;3	3;3	3;3	Tb927.5.4470:mRNA-p1 | transcript=Tb927.5.4470:mRNA | gene=Tb927.5.4470 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_05_v5.1:1377671-138020	2	3	3	3	1	3	1	3	1	3	4.3	4.3	4.3	95.764	845	845;845	9.5		1			3		0	6.9059	By MS/MS	By MS/MS	0.9	4.3	14647000	2622700	12024000	318400	57015	261390	0	3238400	1	3	4				85	48;19957;25403	True;True;True	53;21598;27371	126;48800;48801;61624	115;47071;47072;59360	115;47071;59360		
Tb927.5.4500:mRNA-p1;Tb05.5K5.150:mRNA-p1	Tb927.5.4500:mRNA-p1;Tb05.5K5.150:mRNA-p1	9;9	9;9	9;9	Tb927.5.4500:mRNA-p1 | transcript=Tb927.5.4500:mRNA | gene=Tb927.5.4500 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ras-like small GTPase, putative | transcript_product=ras-like small GTPase, putative | location=Tb927_05_v5.1:1383439-138402	2	9	9	9	7	9	7	9	7	9	65.5	65.5	65.5	21.771	194	194;194	8.79			8			11	0	73.43	By MS/MS	By MS/MS	56.7	65.5	1281700000	366620000	915030000	98589000	28202000	70387000	64769000	136190000	8	11	19				86	3036;12332;14460;25400;25896;27046;27613;29023;29644	True;True;True;True;True;True;True;True;True	3264;13167;15461;27367;27907;29156;29760;31301;31959	7582;7583;29640;29641;34953;34954;34955;61612;61613;62901;62902;65833;65834;65835;65836;67268;70854;70855;72343	7225;7226;28623;28624;33732;33733;33734;59349;59350;60637;60638;63518;63519;63520;63521;64918;68385;68386;69823	7226;28623;33732;59349;60638;63519;64918;68385;69823		
Tb927.5.4520:mRNA-p1;Tb05.5K5.160:mRNA-p1	Tb927.5.4520:mRNA-p1;Tb05.5K5.160:mRNA-p1	114;114	114;114	114;114	Tb927.5.4520:mRNA-p1 | transcript=Tb927.5.4520:mRNA | gene=Tb927.5.4520 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Kinetochore interacting protein 1 | transcript_product=Kinetochore interacting protein 1 | location=Tb927_05_v5.1:1384956-13	2	114	114	114	110	99	110	99	110	99	71.7	71.7	71.7	108.2	926	926;926	6.26	89	195	2	54	177	5	0	323.31	By MS/MS	By MS/MS	71.1	68.7	30285000000	17738000000	12547000000	605700000	354760000	250940000	4970300000	3576400000	247	206	453				87	176;590;616;617;690;1357;1388;1950;1962;3572;3761;3779;3796;3986;3987;4097;4274;4275;4297;4298;5137;5138;5235;5236;5454;5912;5915;6195;6476;9413;9725;9726;10494;11090;11239;11787;11788;11789;12590;12591;12733;12796;12966;13303;13612;13621;13658;13954;13955;14047;14081;14143;14904;14905;15454;15504;16003;16004;16251;16252;16730;16743;16744;16745;16858;17318;18073;18676;18847;18904;19627;19838;20416;20417;20888;21076;21106;21201;21204;21229;21352;21523;21556;21580;22134;22551;22581;22646;22647;23109;23110;23136;23137;23202;23506;23507;24233;25514;25515;25569;27132;27133;27169;27885;27886;27907;27983;28195;28299;28300;28333;28982;28983;29882	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	193;633;661;662;735;736;1450;1451;1485;2105;2119;3834;4035;4055;4072;4269;4270;4383;4569;4570;4593;4594;5507;5508;5611;5612;5835;6327;6330;6628;6944;10079;10416;10417;10418;10419;10420;11229;11851;12007;12591;12592;12593;13466;13467;13620;13621;13687;13873;14226;14555;14566;14605;14922;14923;15023;15058;15059;15126;15928;15929;16501;16557;17081;17082;17083;17084;17085;17086;17351;17352;17353;17883;17896;17897;17898;18014;18499;19355;19356;20204;20205;20387;20448;21242;21243;21472;22074;22075;22566;22764;22794;22898;22901;22927;23061;23235;23275;23276;23301;23873;23874;23875;24322;24353;24423;24424;24918;24919;24946;24947;25013;25014;25340;25341;25342;25343;25344;26120;27490;27491;27550;29250;29251;29291;30060;30061;30083;30084;30164;30393;30507;30508;30557;30558;31258;31259;32209	454;1533;1534;1535;1536;1604;1605;1606;1607;1608;1609;1610;1611;1764;1765;3474;3475;3476;3477;3478;3479;3569;3570;3571;3572;5023;5024;5025;5026;5063;5064;5065;5066;8847;8848;8849;8850;9247;9292;9293;9294;9295;9296;9297;9298;9326;9327;9328;9329;9330;9331;9332;9718;9719;9720;9721;9722;9723;9724;9935;9936;9937;9938;9939;9940;9941;9942;10333;10334;10335;10336;10337;10390;10391;10392;10393;12437;12438;12439;12440;12441;12442;12443;12444;12445;12658;12659;12660;12661;12662;12663;13083;13084;14229;14230;14231;14232;14233;14234;14235;14236;14237;14238;14241;14904;14905;14906;15553;15554;22562;22563;22564;22565;22566;22567;22568;22569;23242;23243;23244;23245;23246;23247;23248;23249;23250;23251;23252;25037;25038;25039;25040;26562;26563;26564;26565;26566;26864;26865;26866;26867;26868;26869;26870;28267;28268;28269;28270;28271;28272;28273;28274;28275;28276;28277;28278;28279;28280;28281;28282;28283;28284;30318;30319;30320;30321;30322;30323;30692;30693;30694;30695;30696;30697;30698;30699;30844;30845;30846;30847;31232;31233;32005;32006;32007;32777;32778;32779;32780;32781;32782;32810;32811;32918;32919;32920;32921;32922;33682;33683;33684;33685;33686;33687;33688;33689;33690;33691;33692;33693;33934;33935;34009;34010;34011;34012;34013;34014;34015;34016;34017;34018;34019;34020;34021;34181;34182;34183;34184;34185;34186;34187;35899;35900;35901;35902;35903;35904;35905;35906;37147;37148;37149;37312;37313;37314;37315;37316;38565;38566;38567;38568;38569;38570;38571;38572;38573;38574;38575;38576;39125;39126;39127;39128;40321;40322;40323;40324;40325;40326;40327;40328;40350;40351;40352;40353;40354;40355;40356;40357;40358;40617;40618;41671;41672;41673;41674;43474;43475;43476;43477;43478;45501;45502;45503;45504;45505;45506;45507;45899;46037;46038;46039;46040;47943;47944;47945;47946;47947;47948;48511;48512;48513;48514;49780;49781;49782;49783;49784;50874;50875;50876;50877;50878;50879;50880;51364;51365;51366;51419;51420;51421;51422;51658;51659;51660;51661;51662;51663;51664;51665;51669;51670;51671;51726;51727;51728;51729;52010;52011;52012;52013;52391;52392;52393;52394;52468;52469;52470;52471;52532;52533;53775;53776;53777;53778;53779;53780;53781;53782;53783;53784;53785;53786;53787;53788;53789;53790;53791;53792;53793;53794;53795;54755;54756;54757;54758;54759;54818;54819;54820;54821;54974;54975;54976;54977;54978;54979;54980;54981;54982;54983;54984;54985;56150;56151;56152;56153;56154;56155;56156;56157;56158;56159;56160;56161;56162;56163;56222;56223;56224;56225;56226;56227;56228;56383;56384;56385;56386;56387;56388;56389;57088;57089;57090;57091;57092;57093;57094;57095;57096;57097;57098;57099;57100;57101;57102;57103;57104;58804;58805;61916;61917;61918;61919;61920;61921;61922;61923;61924;62068;66067;66068;66069;66070;66071;66072;66073;66165;68010;68011;68012;68013;68014;68015;68016;68065;68066;68067;68068;68069;68070;68071;68072;68073;68074;68248;68249;68781;68782;68783;68784;68785;68786;69019;69020;69021;69022;69023;69024;69025;69026;69027;69028;69029;69030;69155;69156;69157;69158;69159;69160;69161;69162;69163;69164;69165;70777;70778;70779;70780;72894	415;1461;1462;1463;1523;1524;1525;1526;1527;1528;1666;1667;3309;3310;3311;3312;3313;3397;3398;3399;3400;4782;4783;4784;4785;4821;4822;4823;8431;8432;8433;8434;8823;8873;8874;8875;8876;8877;8878;8879;8907;8908;8909;8910;8911;9282;9283;9284;9285;9286;9287;9288;9492;9493;9494;9495;9496;9497;9498;9499;9500;9878;9879;9880;9881;9936;9937;9938;11888;11889;11890;11891;11892;11893;11894;12089;12090;12091;12092;12484;12485;13595;13596;13597;13598;13599;13600;13601;13602;13605;14237;14238;14239;14857;14858;21698;21699;21700;21701;21702;21703;21704;22378;22379;22380;22381;22382;22383;22384;22385;22386;24114;24115;24116;24117;25642;25643;25644;25645;25646;25942;25943;25944;25945;25946;25947;25948;25949;27345;27346;27347;27348;27349;27350;27351;27352;27353;27354;27355;27356;27357;27358;29281;29282;29283;29284;29285;29286;29661;29662;29663;29664;29665;29666;29800;29801;29802;29803;30166;30918;30919;31650;31651;31652;31653;31654;31681;31682;31776;31777;31778;31779;32517;32518;32519;32520;32521;32522;32523;32524;32525;32526;32760;32761;32831;32832;32833;32834;32835;32836;32837;32838;32839;32840;32997;32998;32999;33000;33001;34627;34628;34629;34630;34631;34632;34633;35836;35837;35838;35839;35840;35996;35997;35998;35999;36000;37176;37177;37178;37179;37180;37181;37182;37183;37184;37185;37186;37187;37707;37708;37709;37710;38826;38827;38828;38829;38830;38831;38832;38833;38834;38853;38854;38855;38856;38857;38858;38859;38860;38861;39086;40117;40118;40119;40120;41863;41864;41865;41866;43873;43874;43875;43876;43877;43878;43879;44250;44397;44398;44399;46249;46250;46251;46252;46253;46254;46797;46798;46799;46800;46801;48012;48013;48014;49030;49031;49032;49033;49034;49035;49497;49498;49548;49549;49550;49551;49780;49781;49782;49783;49784;49788;49789;49790;49843;49844;49845;50127;50128;50129;50130;50478;50479;50480;50481;50556;50557;50558;50559;50610;50611;51766;51767;51768;51769;51770;51771;51772;51773;51774;51775;51776;51777;51778;51779;51780;51781;51782;51783;51784;51785;51786;51787;52699;52700;52701;52702;52758;52759;52760;52761;52913;52914;52915;52916;52917;52918;52919;52920;52921;54069;54070;54071;54072;54073;54074;54075;54076;54077;54078;54134;54135;54136;54137;54138;54139;54140;54141;54284;54285;54286;54287;54288;54289;54290;54954;54955;54956;54957;54958;54959;54960;54961;54962;54963;54964;54965;54966;54967;54968;54969;56614;56615;59655;59656;59657;59658;59659;59660;59661;59662;59793;63734;63735;63736;63737;63738;63739;63740;63831;65636;65637;65638;65639;65640;65641;65687;65688;65689;65690;65691;65692;65693;65694;65858;66371;66372;66373;66374;66375;66376;66377;66590;66591;66592;66593;66594;66595;66596;66597;66598;66599;66600;66728;66729;66730;66731;66732;66733;66734;66735;66736;66737;68311;68312;68313;68314;70357	415;1462;1523;1526;1666;3309;3400;4783;4821;8434;8823;8879;8907;9282;9287;9495;9878;9880;9936;9937;11893;11894;12091;12092;12484;13599;13605;14239;14858;21698;22383;22386;24114;25643;25943;27347;27351;27354;29281;29285;29665;29803;30166;30918;31653;31681;31778;32520;32523;32760;32840;33000;34627;34632;35839;35998;37179;37186;37707;37710;38829;38855;38856;38858;39086;40120;41863;43877;44250;44399;46249;46800;48012;48014;49035;49497;49550;49783;49788;49843;50129;50479;50559;50611;51785;52699;52761;52915;52921;54071;54077;54135;54139;54285;54962;54967;56614;59657;59662;59793;63734;63736;63831;65636;65639;65692;65858;66377;66591;66599;66736;68312;68314;70357	83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100	1;61;236;287;288;293;401;412;463;479;485;645;712;763;848;871;875;894
Tb927.5.4560:mRNA-p1;Tb11.v5.0409.1-p1;Tb05.5K5.200:mRNA-p1	Tb927.5.4560:mRNA-p1;Tb11.v5.0409.1-p1;Tb05.5K5.200:mRNA-p1	7;7;7	7;7;7	7;7;7	Tb927.5.4560:mRNA-p1 | transcript=Tb927.5.4560:mRNA | gene=Tb927.5.4560 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=guanine deaminase, putative | transcript_product=guanine deaminase, putative | location=Tb927_05_v5.1:1410838-1412388(+) | p	3	7	7	7	5	7	5	7	5	7	18	18	18	55.321	516	516;516;516	8.83			5			7	0	34.251	By MS/MS	By MS/MS	13.6	18	108480000	34610000	73869000	3874200	1236100	2638200	7305800	9759500	4	7	11				88	1468;1483;1534;4708;22315;27534;29930	True;True;True;True;True;True;True	1567;1583;1639;5046;24070;29680;32261	3749;3750;3821;3822;3976;3977;11399;11400;54213;67108;67109;73001	3559;3560;3643;3644;3796;3797;10904;10905;52176;64774;64775;70459	3559;3643;3796;10905;52176;64775;70459		
Tb927.5.4380:mRNA-p1;Tb05.5K5.30:mRNA-p1	Tb927.5.4380:mRNA-p1;Tb05.5K5.30:mRNA-p1	12;12	12;12	12;12	Tb927.5.4380:mRNA-p1 | transcript=Tb927.5.4380:mRNA | gene=Tb927.5.4380 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=kinetoplastid-specific phospho-protein phosphatase, putative | transcript_product=kinetoplastid-specific phospho-protein pho	2	12	12	12	12	10	12	10	12	10	24.2	24.2	24.2	71.37	636	636;636	7.92			12		2	10	0	66.686	By MS/MS	By MS/MS	24.2	19.8	436160000	233300000	202860000	13630000	7290700	6339400	39543000	31605000	12	11	23				89	542;7172;11885;12687;17246;17580;21475;23596;28528;29189;30302;30532	True;True;True;True;True;True;True;True;True;True;True;True	582;7693;12696;13573;18420;18774;23186;25442;30766;31476;32666;32910	1426;17300;28518;28519;30564;30565;30566;41500;41501;42249;42250;52292;52293;57279;57280;69640;69641;71261;71262;73908;73909;73910;74454;74455	1354;16532;27577;27578;27579;27580;29528;29529;29530;39936;39937;40694;40695;50387;50388;55145;55146;67202;67203;68780;68781;71353;71354;71897;71898	1354;16532;27578;29530;39937;40695;50387;55146;67203;68781;71353;71898		
Tb05.5K5.420:pseudogenic_transcript-p1	Tb05.5K5.420:pseudogenic_transcript-p1	1	1	1	Tb05.5K5.420:pseudogenic_transcript-p1 | transcript=Tb05.5K5.420:pseudogenic_transcript | gene=Tb05.5K5.420 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG, pseudogene), putative | transcript_product=variant su	1	1	1	1	0	1	0	1	0	1	7.4	7.4	7.4	40.945	363	363	13						1	0	5.1556		By MS/MS	0	7.4	17071000	0	17071000	1313200	0	1313200	0	2600100	0	1	1				90	11037	True	11796	26411	25492	25492		
Tb927.5.4400:mRNA-p1;Tb05.5K5.50:mRNA-p1	Tb927.5.4400:mRNA-p1;Tb05.5K5.50:mRNA-p1	1;1	1;1	1;1	Tb927.5.4400:mRNA-p1 | transcript=Tb927.5.4400:mRNA | gene=Tb927.5.4400 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_05_v5.1:1364291-136558	2	1	1	1	1	0	1	0	1	0	4.2	4.2	4.2	47.23	432	432;432	3			1				0	8.2504	By MS/MS		4.2	0	9670600	9670600	0	483530	483530	0	1624600	0	1	0	1				91	16958	True	18119	40896	39351	39351		
Tb927.5.4410:mRNA-p1;Tb05.5K5.60:mRNA-p1	Tb927.5.4410:mRNA-p1;Tb05.5K5.60:mRNA-p1	4;4	4;4	4;4	Tb927.5.4410:mRNA-p1 | transcript=Tb927.5.4410:mRNA | gene=Tb927.5.4410 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_05_v5.1:1365928-136658	2	4	4	4	4	1	4	1	4	1	22.9	22.9	22.9	23.593	218	218;218	4	1	1	4			1	0	11.898	By MS/MS	By MS/MS	22.9	5	63758000	50663000	13095000	6375800	5066300	1309500	10592000	0	4	1	5				92	5086;16038;24368;29398	True;True;True;True	5453;17121;26265;31696	12330;12331;12332;38641;59122;71774;71775	11783;37246;56909;69279;69280	11783;37246;56909;69279		
Tb927.5.4420:mRNA-p1;Tb05.5K5.70:mRNA-p1	Tb927.5.4420:mRNA-p1;Tb05.5K5.70:mRNA-p1	26;26	26;26	26;26	Tb927.5.4420:mRNA-p1 | transcript=Tb927.5.4420:mRNA | gene=Tb927.5.4420 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=nucleolar RNA helicase II, putative | transcript_product=nucleolar RNA helicase II, putative | location=Tb927_05_v5.1:136708	2	26	26	26	17	25	17	25	17	25	46.4	46.4	46.4	68.786	632	632;632	9.6		3	18		15	31	0	138.95	By MS/MS	By MS/MS	35.1	44.6	1449200000	381580000	1067600000	36229000	9539500	26690000	87897000	140300000	20	36	56				93	3412;3492;3681;7564;7733;8199;9084;10005;10078;10423;10424;11260;12248;12249;13361;13372;13546;13547;14735;19428;23370;23879;25554;25639;26724;28018	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3660;3746;3949;8117;8295;8790;9730;10718;10792;11152;11153;12029;13080;13081;14289;14301;14486;14487;15750;15751;21029;21030;25191;25747;25748;27534;27622;28805;30200	8430;8618;8619;9064;9065;9066;9067;18246;18666;19744;19745;21789;21790;21791;23895;23896;23897;23898;24070;24071;24852;24853;24854;26920;29432;29433;29434;29435;29436;29437;29438;29439;29440;32166;32196;32197;32627;32628;35540;35541;35542;35543;35544;47459;47460;47461;56771;56772;56773;56774;58000;58001;58002;62041;62042;62043;62044;62213;62214;62215;64989;64990;64991;68342;68343;68344;68345	8046;8222;8639;8640;8641;8642;17471;17889;18966;18967;20953;20954;20955;23006;23007;23008;23179;23180;23928;23929;23930;25998;28425;28426;28427;28428;28429;31071;31096;31505;31506;34292;34293;34294;34295;45786;45787;54660;54661;54662;55842;55843;55844;55845;59767;59768;59769;59770;59929;59930;59931;62708;62709;62710;65964;65965;65966;65967	8046;8222;8641;17471;17889;18967;20955;23007;23179;23928;23929;25998;28425;28428;31071;31096;31505;31506;34294;45786;54661;55842;59768;59930;62709;65964	101;102;103;104;105;106	26;260;266;331;502;527
Tb927.5.4430:mRNA-p1;Tb05.5K5.80:mRNA-p1	Tb927.5.4430:mRNA-p1;Tb05.5K5.80:mRNA-p1	1;1	1;1	1;1	Tb927.5.4430:mRNA-p1 | transcript=Tb927.5.4430:mRNA | gene=Tb927.5.4430 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, puta	2	1	1	1	0	1	0	1	0	1	3.7	3.7	3.7	39.246	351	351;351	13						1	0.00039683	3.8626		By MS/MS	0	3.7	10180000	0	10180000	598850	0	598850	0	1550600	0	0	0				94	17791	True	18994	42728	41159	41159		
Tb927.7.2140:mRNA-p1;Tb07.11L3.90:mRNA-p1	Tb927.7.2140:mRNA-p1;Tb07.11L3.90:mRNA-p1	11;11	11;11	11;11	Tb927.7.2140:mRNA-p1 | transcript=Tb927.7.2140:mRNA | gene=Tb927.7.2140 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=zinc finger protein family member, putative | transcript_product=zinc finger protein family member, putative | location=Tb92	2	11	11	11	11	11	11	11	11	11	53.7	53.7	53.7	40.864	376	376;376	7.68		1	17			16	0	224.81	By MS/MS	By MS/MS	53.7	53.7	2615000000	1246300000	1368700000	217920000	103860000	114060000	193200000	196300000	18	18	36				95	5752;8778;11182;12634;16894;18385;21040;22539;22610;24926;26124	True;True;True;True;True;True;True;True;True;True;True	6156;9407;11948;13514;13515;18052;18053;19799;19800;22728;24310;24383;24384;26857;26858;28155	13827;13828;13829;13830;21096;21097;26761;26762;26763;30431;30432;30433;30434;30435;30436;40704;40705;40706;40707;44566;44567;44568;44569;51304;51305;54732;54733;54873;54874;60431;60432;60433;63493;63494	13216;13217;13218;13219;13220;20292;20293;25839;25840;29398;29399;29400;29401;29402;29403;29404;39165;39166;39167;39168;39169;42939;42940;42941;42942;49435;49436;49437;52678;52679;52680;52815;52816;58170;58171;58172;61209;61210	13217;20293;25839;29404;39169;42939;49435;52678;52815;58170;61209	107;108;109;110	22;56;134;344
Tb08.27P2.160:pseudogenic_transcript-p1;Tb11.0700:pseudogenic_transcript-p1;Tb927.9.620:pseudogenic_transcript-p1;Tb10.v4.0147:pseudogenic_transcript-p1;Tb927.11.19470:pseudogenic_transcript-p1;Tb08.27P2.520:pseudogenic_transcript-p1;Tb927.11.19900:pseudogenic_transcript-p1;Tb927.3.430:pseudogenic_transcript-p1;Tb09.v4.0172:pseudogenic_transcript-p1;Tb927.11.20150:pseudogenic_transcript-p1;Tb927.11.17180:mRNA-p1;Tb08.27P2.400:pseudogenic_transcript-p1	Tb08.27P2.160:pseudogenic_transcript-p1;Tb11.0700:pseudogenic_transcript-p1;Tb927.9.620:pseudogenic_transcript-p1;Tb10.v4.0147:pseudogenic_transcript-p1;Tb927.11.19470:pseudogenic_transcript-p1;Tb08.27P2.520:pseudogenic_transcript-p1;Tb927.11.19900:pseudogenic_transcript-p1	3;2;2;2;2;2;2;1;1;1;1;1	3;2;2;2;2;2;2;1;1;1;1;1	1;1;1;1;1;1;1;0;0;0;0;0	Tb08.27P2.160:pseudogenic_transcript-p1 | transcript=Tb08.27P2.160:pseudogenic_transcript | gene=Tb08.27P2.160 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=expression site-associated gene 3 (ESAG3), degenerate | transcript_product=expression	12	3	3	1	2	3	2	3	0	1	7.7	7.7	3	41.846	364	364;187;231;290;341;341;358;209;322;326;338;357	10			2		1	4	0	17.593	By MS/MS	By MS/MS	7.4	7.7	372530000	94412000	278120000	21913000	5553600	16360000	19169000	39840000	2	5	7				96	7571;13467;23689	True;True;True	8124;14404;25539	18266;18267;32434;57493;57494;57495;57496	17491;17492;31316;55343;55344;55345;55346	17491;31316;55345		
Tb927.9.15850:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb09.v4.0014:mRNA-p1	Tb927.9.15850:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb09.v4.0014:mRNA-p1	1;1;1	1;1;1	1;1;1	Tb927.9.15850:mRNA-p1 | transcript=Tb927.9.15850:mRNA | gene=Tb927.9.15850 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Tb927_09_v5.1:2509466-2510152(-) | protein_leng	3	1	1	1	0	1	0	1	0	1	5.7	5.7	5.7	25.148	228	228;228;228	13						1	0.0088586	1.644		By MS/MS	0	5.7	11032000	0	11032000	1103200	0	1103200	0	1680300	0	1	1				97	12369	True	13208	29730	28713	28713		
Tb09.v4.0067:pseudogenic_transcript-p1	Tb09.v4.0067:pseudogenic_transcript-p1	8	1	1	Tb09.v4.0067:pseudogenic_transcript-p1 | transcript=Tb09.v4.0067:pseudogenic_transcript | gene=Tb09.v4.0067 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=retrotransposon hot spot protein, pseudogene | transcript_product=retrotransposon hot sp	1	8	1	1	7	7	1	1	1	1	9.7	2	2	62.718	548	548	3.8	1	3			1		0	5.5682	By MS/MS	By MS/MS	9.5	8	89476000	57171000	32305000	3085400	1971400	1114000	10406000	0	3	1	4				98	2326;6914;18741;21159;21862;27744;27745;29944	False;False;True;False;False;False;False;False	2514;7422;7423;20272;20273;22854;23593;29897;29898;32275	5921;5922;16699;16700;45635;45636;45637;45638;45639;51574;53214;53215;67647;67648;67649;67650;67651;67652;73025;73026;73027;73028	5627;5628;15971;15972;43995;43996;43997;43998;49694;51248;51249;65281;65282;65283;65284;65285;65286;70482;70483;70484;70485;70486	5627;15972;43995;49694;51248;65284;65286;70485	111;112;113	144;500;521
Tb09.v4.0154:pseudogenic_transcript-p1	Tb09.v4.0154:pseudogenic_transcript-p1	1	1	1	Tb09.v4.0154:pseudogenic_transcript-p1 | transcript=Tb09.v4.0154:pseudogenic_transcript | gene=Tb09.v4.0154 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=expression site-associated gene 3 (ESAG3, pseudogene), putative | transcript_product=exp	1	1	1	1	0	1	0	1	0	1	5.2	5.2	5.2	40.514	364	364	13						2	0	4.4688		By MS/MS	0	5.2	139530000	0	139530000	9966500	0	9966500	0	18929000	0	2	2				99	17125	True	18294;18295	41260;41261	39698;39699	39699	114	79
Tb09.v4.0194:pseudogenic_transcript-p1	Tb09.v4.0194:pseudogenic_transcript-p1	1	1	1	Tb09.v4.0194:pseudogenic_transcript-p1 | transcript=Tb09.v4.0194:pseudogenic_transcript | gene=Tb09.v4.0194 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG, pseudogene), putative | transcript_product=variant su	1	1	1	1	1	1	1	1	1	1	1.9	1.9	1.9	56.025	522	522	5	1	1			1		0.0025234	2.384	By MS/MS	By MS/MS	1.9	1.9	97759000	97759000	0	4888000	4888000	0	30497000	0	1	1	2				100	27723	True	29876	67587;67588;67589	65229;65230	65230		
