Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides DEAC2	Peptides SM	Razor + unique peptides DEAC2	Razor + unique peptides SM	Unique peptides DEAC2	Unique peptides SM	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 11	Fraction 12	Fraction 13	Fraction 14	Q-value	Score	Identification type DEAC2	Identification type SM	Sequence coverage DEAC2 [%]	Sequence coverage SM [%]	Intensity	Intensity DEAC2	Intensity SM	iBAQ	iBAQ DEAC2	iBAQ SM	LFQ intensity DEAC2	LFQ intensity SM	MS/MS count DEAC2	MS/MS count SM	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb11.v5.0537.1-p1;Tb927.11.13007:mRNA-p1;Tb927.11.13003:mRNA-p1;Tb927.11.9920:mRNA-p1;Tb11.01.1680.v5.1-p1	Tb11.v5.0537.1-p1;Tb927.11.13007:mRNA-p1;Tb927.11.13003:mRNA-p1;Tb927.11.9920:mRNA-p1;Tb11.01.1680.v5.1-p1	8;7;7;7;7	8;7;7;7;7	8;7;7;7;7	;;;;	5	8	8	8	6	8	6	8	6	8	65.5	65.5	65.5	70.128	623	623;128;128;685;1283	7.38	5	9	9	7	4	4	9	9	0	129.74	By MS/MS	By MS/MS	51.7	65.5	436180000	275860000	160320000	11184000	7073300	4110700	95674000	62056000	45	35	80				172	477;2458;4678;6722;9229;9292;9293;9294	True;True;True;True;True;True;True;True	502;2680;5099;7417;10174;10243;10244;10245	1285;1286;1287;1288;1289;6404;6405;6406;6407;6408;6409;6410;6411;6412;6413;11837;11838;11839;11840;11841;11842;11843;11844;11845;11846;11847;17369;17370;23991;23992;23993;23994;23995;23996;23997;23998;23999;24000;24001;24002;24003;24004;24184;24185;24186;24187;24188;24189;24190;24191;24192;24193;24194;24195;24196;24197	1525;1526;1527;1528;1529;1530;1531;1532;1533;7216;7217;7218;7219;7220;7221;7222;13272;13273;13274;13275;13276;13277;13278;13279;13280;13281;13282;13283;13284;13285;13286;13287;13288;13289;13290;13291;13292;13293;13294;13295;13296;13297;13298;19356;19357;26586;26587;26588;26589;26590;26591;26592;26593;26594;26595;26596;26597;26598;26599;26600;26601;26602;26603;26604;26810;26811;26812;26813;26814;26815;26816;26817;26818;26819;26820;26821;26822;26823;26824;26825;26826	1529;7219;13286;19357;26599;26810;26813;26825		
Tb927.8.5010:mRNA-p1;Tb927.8.5000:mRNA-p1;Tb927.8.4990:mRNA-p1;Tb927.8.4980:mRNA-p1;Tb927.8.4970:mRNA-p1;Tb11.v5.0538.1-p1	Tb927.8.5010:mRNA-p1;Tb927.8.5000:mRNA-p1;Tb927.8.4990:mRNA-p1;Tb927.8.4980:mRNA-p1;Tb927.8.4970:mRNA-p1;Tb11.v5.0538.1-p1	12;12;12;12;12;12	12;12;12;12;12;12	12;12;12;12;12;12	;;;;;	6	12	12	12	3	10	3	10	3	10	27.5	27.5	27.5	69.596	600	600;600;600;600;600;600	9.63			5			14			0	88.643	By MS/MS	By MS/MS	9.8	20.5	4438100	683580	3754500	153040	23572	129470	0	8075400	7	19	26				173	175;2519;6661;7014;7258;8228;8650;9311;9378;9388;9687;9826	True;True;True;True;True;True;True;True;True;True;True;True	185;2749;7322;7323;7786;8055;8056;9092;9546;9547;10263;10340;10353;10684;10685;10832;10833	503;6581;17071;17072;18281;18992;18993;21402;22533;22534;22535;22536;24237;24439;24483;25228;25229;25609;25610	572;7418;19031;19032;20389;21148;21149;21150;21151;21152;21153;21154;23744;24976;24977;24978;24979;24980;24981;26877;27103;27168;27999;28000;28469;28470;28471	572;7418;19031;20389;21154;23744;24977;26877;27103;27168;27999;28470	136;137;138;139;140	107;149;174;228;584
Tb11.v5.0540.1-p1;Tb927.4.4860:mRNA-p1;Tb927.4.4820:mRNA-p1;Tb927.4.4840:mRNA-p1	Tb11.v5.0540.1-p1;Tb927.4.4860:mRNA-p1;Tb927.4.4820:mRNA-p1	6;4;4;2	6;4;4;2	6;4;4;2	;;	4	6	6	6	2	5	2	5	2	5	18	18	18	52.651	490	490;473;473;473	9.67		1	1	4			2	7	0	56.497	By MS/MS	By MS/MS	7.6	18	17637000	6782000	10854000	1102300	423880	678410	0	2520300	4	7	11				174	203;204;577;6853;6974;7270	True;True;True;True;True;True	214;215;611;7607;7608;7742;8068	585;586;1530;1531;17867;17868;17869;17870;17871;17872;17873;17874;17875;18171;19016	685;686;1813;19934;19935;19936;19937;19938;19939;20272;21178	685;686;1813;19934;20272;21178	141	71
Tb927.10.10970:mRNA-p1;Tb927.10.10960:mRNA-p1;Tb927.10.10950:mRNA-p1;Tb927.10.10940:mRNA-p1;Tb927.10.10920:mRNA-p1;Tb927.10.10900:mRNA-p1;Tb927.10.10890:mRNA-p1;Tb11.v5.0543.1-p1;Tb927.10.10980:mRNA-p1;Tb927.10.10930:mRNA-p1;Tb927.10.10910:mRNA-p1	Tb927.10.10970:mRNA-p1;Tb927.10.10960:mRNA-p1;Tb927.10.10950:mRNA-p1;Tb927.10.10940:mRNA-p1;Tb927.10.10920:mRNA-p1;Tb927.10.10900:mRNA-p1;Tb927.10.10890:mRNA-p1;Tb11.v5.0543.1-p1;Tb927.10.10980:mRNA-p1;Tb927.10.10930:mRNA-p1;Tb927.10.10910:mRNA-p1	28;28;28;28;28;28;28;28;27;27;27	28;28;28;28;28;28;28;28;27;27;27	28;28;28;28;28;28;28;28;27;27;27	;;;;;;;;;;	11	28	28	28	27	8	27	8	27	8	38.2	38.2	38.2	80.793	704	704;704;704;704;704;704;704;704;704;704;704	4.4	1	39		2	1	12			0	231.97	By MS/MS	By MS/MS	38.2	13.1	21647000	20181000	1465600	655960	611550	44411	14916000	3136500	46	17	63				175	181;218;441;456;636;1135;1136;1684;1809;1973;2087;2244;2245;2537;2778;2779;3054;3936;4857;5029;5120;5420;7481;7971;9359;9373;10200;11247	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	191;229;460;476;684;1220;1221;1830;1831;1966;2141;2267;2434;2435;2768;3028;3029;3320;4281;5296;5488;5587;5588;5905;8299;8822;10313;10314;10331;10332;11229;12385	512;513;514;515;516;628;1177;1214;1215;1688;1689;3041;3042;3043;4438;4439;4800;4801;5174;5431;5797;5798;5799;5800;6619;6620;7174;7175;7846;9994;9995;9996;9997;12293;12294;12778;12779;12993;12994;13732;19585;19586;20763;24384;24385;24386;24387;24388;24389;24423;24424;24425;24426;26518;29238	582;583;584;585;586;587;747;1402;1443;1444;2002;2003;3515;3516;3517;5054;5055;5439;5440;5839;6125;6529;6530;6531;6532;7459;7460;8043;8044;8045;8834;11213;11214;11215;11216;11217;11218;13767;13768;13769;14280;14281;14282;14500;14501;15281;21821;21822;23056;27043;27044;27045;27046;27047;27048;27049;27050;27084;27085;27086;27087;29492;29493;32418	583;747;1402;1443;2002;3515;3517;5055;5439;5839;6125;6529;6532;7460;8043;8045;8834;11213;13769;14281;14501;15281;21821;23056;27047;27087;29492;32418	142;143;144;145	83;449;604;609
Tb11.v5.0552.1-p1	Tb11.v5.0552.1-p1	11	4	1		1	11	4	1	10	4	4	0	1	0	19.3	9.4	2.3	58.626	522	522	3		1	3	1					0	24.718	By MS/MS	By matching	19.3	10.2	1864700	1864700	0	58272	58272	0	576640	0	4	0	4				176	278;1763;2424;2436;4929;5209;5210;6650;6651;7211;8055	False;False;False;True;True;False;False;False;False;True;True	292;1917;2638;2655;5373;5683;5684;7301;7302;7303;7304;8001;8911	760;761;762;763;764;765;4671;6183;6352;6353;12467;13228;13229;13230;13231;13232;13233;13234;13235;13236;13237;13238;16992;16993;16994;16995;16996;16997;16998;16999;17000;17001;17002;17003;17004;17005;17006;17007;17008;18843;20947	894;895;896;897;898;899;900;901;5310;6948;7159;13956;14755;14756;14757;14758;14759;18933;18934;18935;18936;18937;18938;18939;18940;18941;18942;18943;18944;18945;18946;18947;18948;18949;18950;18951;18952;18953;18954;18955;18956;18957;20975;23238	898;5310;6948;7159;13956;14756;14759;18944;18954;20975;23238	95	366
Tb11.v5.0553.1-p1;Tb927.6.1670:pseudogenic_transcript-p1	Tb11.v5.0553.1-p1;Tb927.6.1670:pseudogenic_transcript-p1	2;2	2;2	2;2	;	2	2	2	2	2	0	2	0	2	0	4.7	4.7	4.7	60.133	536	536;1086	2		2							0	12.675	By MS/MS		4.7	0	136820	136820	0	4886.6	4886.6	0	110760	0	2	0	2				177	6112;7572	True;True	6651;8400	15450;19855	17227;22103	17227;22103		
Tb927.10.350:mRNA-p1;Tb11.v5.0564.1-p1	Tb927.10.350:mRNA-p1;Tb11.v5.0564.1-p1	8;8	8;8	8;8	;	2	8	8	8	4	6	4	6	4	6	19.3	19.3	19.3	58.557	512	512;512	9			4				6		0	73.56	By MS/MS	By MS/MS	7	16.8	1807400	464850	1342500	69515	17879	51637	214680	240570	6	8	14				178	1365;6609;7207;7693;9177;10597;11221;11243	True;True;True;True;True;True;True;True	1468;7240;7997;8530;10118;11676;12356;12381	3557;3558;16875;16876;18831;20116;23878;27644;29176;29233	4086;4087;4088;4089;18802;18803;18804;18805;20964;22373;26454;30645;32361;32414	4089;18805;20964;22373;26454;30645;32361;32414	146	1
Tb927.11.4610:mRNA-p1;Tb11.v5.0587.1-p1	Tb927.11.4610:mRNA-p1;Tb11.v5.0587.1-p1	10;10	10;10	10;10	;	2	10	10	10	5	9	5	9	5	9	23	23	23	56.734	499	499;499	9.07			5	1			9		0	78.982	By MS/MS	By MS/MS	12.8	18.8	4011000	1549600	2461400	125340	48426	76917	525490	510610	3	9	12				179	1530;4113;5069;5778;6431;6438;8142;8348;9548;9935	True;True;True;True;True;True;True;True;True;True	1648;4471;5533;6281;6988;6996;8999;9219;10524;10951	3927;10387;12886;12887;14618;14619;16287;16301;16302;21178;21696;24866;25876;25877;25878	4497;11646;14394;14395;16300;16301;18171;18185;18186;23488;24069;27589;28761;28762	4497;11646;14395;16300;18171;18185;23488;24069;27589;28761		
Tb927.7.2570:mRNA-p1;Tb11.v5.0611.1-p1	Tb927.7.2570:mRNA-p1;Tb11.v5.0611.1-p1	15;15	15;15	15;15	;	2	15	15	15	14	13	14	13	14	13	35.9	35.9	35.9	52.545	473	473;473	6.98		1	13	14			14	2	0	127.82	By MS/MS	By MS/MS	35.9	33.4	50079000	28331000	21748000	2003200	1133200	869930	5533300	7804400	25	16	41				180	304;972;1625;1629;3915;3916;4682;4881;5192;5223;5776;6057;7749;8415;8416	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	318;1046;1761;1765;4259;4260;5103;5322;5666;5698;6279;6589;8588;9294;9295	812;813;814;2667;2668;4230;4235;4236;4237;4238;9964;9965;9966;11867;11868;11869;11870;11871;11872;11873;12354;12355;12356;13181;13182;13183;13275;13276;13277;13278;14614;14615;14616;15308;15309;20283;20284;20285;21949;21950;21951;21952;21953;21954	954;955;956;957;3100;3101;4838;4843;4844;4845;4846;11183;11184;13312;13313;13314;13315;13316;13317;13838;13839;13840;13841;14699;14700;14701;14702;14798;14799;14800;14801;16297;16298;17089;17090;22564;22565;24344;24345;24346;24347;24348	957;3100;4838;4844;11183;11184;13315;13839;14701;14800;16297;17090;22565;24345;24348		
Tb927.7.7070:mRNA-p1;Tb11.v5.0612.1-p1	Tb927.7.7070:mRNA-p1;Tb11.v5.0612.1-p1	7;7	7;7	7;7	;	2	7	7	7	4	7	4	7	4	7	18.7	18.7	18.7	49.45	443	443;443	9.73				4			7		0	73.517	By MS/MS	By MS/MS	10.4	18.7	2824800	1300000	1524800	100890	46429	54458	223920	506520	5	8	13				181	255;1034;3403;5996;7224;7231;10872	True;True;True;True;True;True;True	268;1114;3698;6525;8017;8027;11969	725;726;2832;2833;8696;8697;15154;18906;18907;18928;28314	854;855;856;3285;3286;9801;9802;16879;21050;21051;21079;31357;31358	854;3286;9802;16879;21050;21079;31358		
Tb11.v5.0621.1-p1;Tb927.9.14240:mRNA-p1	Tb11.v5.0621.1-p1;Tb927.9.14240:mRNA-p1	1;1	1;1	1;1	;	2	1	1	1	1	1	1	1	1	1	1.6	1.6	1.6	76.672	697	697;752	7		1				1			0.0035953	6.9438	By MS/MS	By MS/MS	1.6	1.6	171850	60101	111750	5925.9	2072.4	3853.5	0	267410	1	1	2				182	9655	True	10647	25145;25146	27901;27902	27902		
Tb11.v5.0624.1-p1	Tb11.v5.0624.1-p1	5	1	1		1	5	1	1	4	2	1	0	1	0	9.4	2.4	2.4	62.492	544	544	2		1							0.0031234	7.0554	By MS/MS	By matching	9.4	4.4	83614	83614	0	2787.1	2787.1	0	67687	0	1	0	1				183	835;2586;3705;4351;7123	True;False;False;False;False	897;2822;4034;4726;7908	2234;6725;9470;10939;18622;18623;18624;18625	2598;7562;10631;12271;20735;20736;20737;20738	2598;7562;10631;12271;20735		
Tb927.10.2890:mRNA-p1;Tb11.v5.0650.1-p1	Tb927.10.2890:mRNA-p1;Tb11.v5.0650.1-p1	16;16	16;16	16;16	;	2	16	16	16	9	15	9	15	9	15	48	48	48	46.592	429	429;429	10.4			1	13			12	16	0	164.07	By MS/MS	By MS/MS	29.4	45.9	20214000	10538000	9676200	808560	421510	387050	3626100	1907800	13	25	38				184	903;1349;2279;3617;4009;4328;4622;5096;5490;5995;6580;7286;8070;8599;9482;11097	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	970;1451;2473;3937;4360;4361;4701;5037;5562;5976;5977;6524;7194;8085;8926;9494;10452;12217	2419;2420;2421;3521;5873;9273;9274;10155;10156;10157;10158;10879;10880;11700;11701;11702;11703;12941;12942;13865;13866;13867;13868;15151;15152;15153;16786;19066;20991;20992;20993;20994;22432;22433;22434;22435;24693;24694;24695;28848;28849;28850	2817;2818;4036;6617;10401;10402;11391;11392;11393;11394;12201;12202;13116;13117;13118;14445;14446;15424;15425;15426;16876;16877;16878;18702;21236;23274;23275;23276;23277;24867;24868;24869;27397;27398;27399;27400;32012;32013	2817;4036;6617;10402;11392;12202;13117;14445;15425;16877;18702;21236;23274;24867;27398;32012	147;148	114;167
Tb927.2.830:pseudogenic_transcript-p1;Tb11.v5.0655.1-p1;Tb927.4.110:pseudogenic_transcript-p1	Tb927.2.830:pseudogenic_transcript-p1;Tb11.v5.0655.1-p1	7;7;1	7;7;1	3;3;0	;	3	7	7	3	7	2	7	2	3	1	21.9	21.9	7.4	40.504	352	352;427;359	4.42	1	8				3			0	128.26	By MS/MS	By MS/MS	21.9	8	10329000	9334100	995180	516460	466700	49759	7360900	2582300	9	2	11				185	897;2396;3576;3881;7123;7279;9088	True;True;True;True;True;True;True	964;2606;3887;4223;7908;8077;10020	2411;2412;6126;9135;9899;18622;18623;18624;18625;19045;19046;23655	2809;2810;6884;10261;11115;20735;20736;20737;20738;21218;26186;26187	2809;6884;10261;11115;20735;21218;26187		
Tb11.v5.0660.1-p1;Tb927.2.2190:mRNA-p1	Tb11.v5.0660.1-p1;Tb927.2.2190:mRNA-p1	3;3	3;3	3;3	;	2	3	3	3	2	1	2	1	2	1	6.8	6.8	6.8	67.546	620	620;685	5.33		2				1			0	20.705	By MS/MS	By MS/MS	4.8	1.9	217070	154450	62620	7485.1	5325.8	2159.3	125030	0	2	2	4				186	5212;6014;8715	True;True;True	5686;6543;9615	13245;15180;22704	14764;16907;16908;25160	14764;16908;25160		
Tb927.10.8230:mRNA-p1;Tb11.v5.0668.1-p1	Tb927.10.8230:mRNA-p1;Tb11.v5.0668.1-p1	17;17	17;17	17;17	;	2	17	17	17	17	6	17	6	17	6	35.4	35.4	35.4	55.579	497	497;497	4.49	3	19	10	1	2	8			0	142.33	By MS/MS	By MS/MS	35.4	12.1	78236000	72562000	5673200	2697800	2502200	195630	22736000	25272000	30	9	39				187	680;1370;1371;2440;2583;2730;2791;3323;3987;4984;6226;6949;7426;8163;8210;8503;9748	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	732;1474;1475;2659;2818;2819;2977;3041;3607;3608;4334;5437;6767;7712;8242;9023;9071;9383;10749	1799;1800;1801;1802;1803;1804;1805;1806;3568;3569;3570;3571;6359;6360;6719;6720;6721;6722;7064;7065;7066;7201;7202;8479;8480;10110;10111;12684;15734;15735;18092;19422;19423;19424;21241;21242;21243;21362;21363;22200;22201;25391;25392	2121;2122;2123;2124;2125;2126;2127;2128;4102;4103;4104;7165;7556;7557;7558;7559;7938;7939;8074;8075;9553;9554;11343;11344;14178;17493;20186;21628;21629;23577;23578;23579;23692;23693;23694;24640;28185;28186;28187	2123;4103;4104;7165;7558;7939;8075;9554;11343;14178;17493;20186;21628;23578;23694;24640;28187	149	207
Tb927.10.2770:mRNA-p1;Tb11.v5.0684.1-p1	Tb927.10.2770:mRNA-p1;Tb11.v5.0684.1-p1	16;16	16;16	16;16	;	2	16	16	16	14	14	14	14	14	14	40.8	40.8	40.8	42.945	382	382;382	8.69				17				15	0	162.8	By MS/MS	By MS/MS	37.7	39	33611000	25842000	7769700	1200400	922920	277490	6110600	3300500	19	18	37				188	753;1487;1918;2958;2959;3119;5291;7147;7465;8550;9553;9554;9876;11062;11138;11332	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	813;1600;2084;3220;3221;3385;3386;5769;7933;8282;9433;10531;10532;10533;10888;12181;12262;12478	1997;1998;3819;5047;5048;7632;7633;7634;7635;7636;8025;8026;8027;8028;13433;18682;18683;19555;19556;22309;24882;24883;24884;24885;25744;25745;28746;28747;28969;28970;29459;29460	2332;2333;2334;4380;5699;5700;8576;8577;8578;8579;8580;8581;8582;9047;9048;9049;9050;14965;20799;20800;21784;21785;21786;21787;21788;24740;27612;27613;27614;27615;28605;28606;31832;31833;32136;32137;32677;32678	2332;4380;5699;8576;8581;9049;14965;20799;21784;24740;27612;27613;28606;31833;32136;32677	150;151;152	5;127;136
Tb11.v5.0713.1-p1;Tb927.2.1330:pseudogenic_transcript-p1	Tb11.v5.0713.1-p1	4;1	4;1	2;1		2	4	4	2	4	1	4	1	2	0	6.7	6.7	3.5	78.342	688	688;602	5.33		4				2			0	25.611	By MS/MS	By MS/MS	6.7	1.7	614320	471080	143240	13962	10706	3255.5	381350	0	5	2	7				189	1054;2296;2360;4982	True;True;True;True	1135;2493;2568;5435	2865;5914;6053;12680;12681;12682	3319;3320;6661;6808;14174;14175;14176	3320;6661;6808;14175		
Tb11.v5.0726.1-p1;Tb927.11.460:mRNA-p1	Tb11.v5.0726.1-p1;Tb927.11.460:mRNA-p1	4;4	4;4	4;4	;	2	4	4	4	3	2	3	2	3	2	6.9	6.9	6.9	77.415	694	694;948	5.8		3			1	1			0	27.99	By MS/MS	By MS/MS	5.6	3	1015800	155480	860310	31743	4858.7	26885	125860	0	3	2	5				190	1010;2361;10099;10222	True;True;True;True	1089;2569;11123;11254	2776;6054;26294;26574;26575	3229;6809;29257;29548;29549	3229;6809;29257;29548		
Tb11.v5.0731.1-p1	Tb11.v5.0731.1-p1	6	1	1		1	6	1	1	5	3	1	0	1	0	13.7	3.5	3.5	47.627	430	430	2.5		1	1						0.0050226	6.678	By MS/MS	By matching	13.7	4.4	1352500	1352500	0	64403	64403	0	429430	0	2	0	2				191	397;4313;6118;6119;9948;10301	False;False;False;False;True;False	414;4686;6657;6658;10965;11339	1045;10848;10849;15466;15467;15468;15469;15470;15471;25903;25904;26794;26795;26796	1255;1256;12167;17243;17244;17245;17246;28792;28793;29783;29784	1255;12167;17243;17245;28793;29784	153	285
Tb927.3.3790:mRNA-p1;Tb927.3.3770:mRNA-p1;Tb11.v5.0741.1-p1	Tb927.3.3790:mRNA-p1;Tb927.3.3770:mRNA-p1;Tb11.v5.0741.1-p1	6;6;6	6;6;6	6;6;6	;;	3	6	6	6	1	6	1	6	1	6	29	29	29	31.661	286	286;286;286	12.6				1				6	0	38.17	By MS/MS	By MS/MS	4.9	29	1772400	231710	1540700	98468	12873	85595	0	464440	1	6	7				192	1611;5258;5438;6984;8056;10119	True;True;True;True;True;True	1743;5735;5923;7754;8912;11144	4160;13345;13765;18201;20948;26339;26340	4774;14882;15312;20308;23239;29310;29311	4774;14882;15312;20308;23239;29311		
Tb11.v5.0752.1-p1;Tb927.5.5230:pseudogenic_transcript-p1	Tb11.v5.0752.1-p1;Tb927.5.5230:pseudogenic_transcript-p1	1;1	1;1	1;1	;	2	1	1	1	0	1	0	1	0	1	5.9	5.9	5.9	27.482	239	239;368	13							1		0.0050251	6.6831		By MS/MS	0	5.9	69226	0	69226	6293.2	0	6293.2	0	16400	0	1	1				193	4357	True	4733	10950	12284	12284		
Tb11.v5.0753.1-p1;Tb927.10.840:mRNA-p1	Tb11.v5.0753.1-p1;Tb927.10.840:mRNA-p1	2;2	2;2	2;2	;	2	2	2	2	2	0	2	0	2	0	2.7	2.7	2.7	81.922	708	708;1719	1	2								0.0028818	10.491	By MS/MS		2.7	0	71768	71768	0	1750.4	1750.4	0	71768	0	2	0	2				194	4229;6026	True;True	4594;6556	10615;15200	11891;16930	11891;16930		
Tb11.v5.0782.1-p1;Tb927.2.3180:mRNA-p1	Tb11.v5.0782.1-p1;Tb927.2.3180:mRNA-p1	3;3	3;3	3;3	;	2	3	3	3	3	0	3	0	3	0	4.7	4.7	4.7	82.744	724	724;1003	2.33		2	1						0	18.596	By MS/MS		4.7	0	202200	202200	0	5465	5465	0	106750	0	4	0	4				195	1344;3966;9905	True;True;True	1445;4313;10919	3510;10058;25811	4023;4024;11283;28678	4024;11283;28678	154;155	493;494
Tb11.v5.0800.1-p1;Tb927.2.1100:pseudogenic_transcript-p1	Tb11.v5.0800.1-p1;Tb927.2.1100:pseudogenic_transcript-p1	4;4	1;1	1;1	;	2	4	1	1	4	2	1	0	1	0	24.9	8.3	8.3	22.537	193	193;582	2		1							1	-2	By MS/MS	By matching	24.9	10.9	39052	39052	0	3254.3	3254.3	0	31613	0	1	0	1	+			196	6694;6899;9975;11225	False;False;False;True	7377;7378;7659;10993;12360	17231;17232;17233;17234;17235;17962;17963;17964;25993;29191	19201;19202;19203;19204;20039;20040;20041;20042;28907;32374	19201;20042;28907;32374	129	1
Tb11.v5.0807.1-p1;Tb927.9.13510:mRNA-p1	Tb11.v5.0807.1-p1;Tb927.9.13510:mRNA-p1	12;12	12;12	12;12	;	2	12	12	12	10	8	10	8	10	8	21.7	21.7	21.7	64.261	566	566;623	5.96		6	11	1		5	4		0	110.59	By MS/MS	By MS/MS	19.4	15.7	19626000	17240000	2386100	726900	638530	88374	6379900	1609000	17	12	29				197	412;1448;2521;3131;3803;4217;4218;4219;5809;5967;9633;9712	True;True;True;True;True;True;True;True;True;True;True;True	429;1558;2751;3400;4138;4582;4583;4584;6316;6494;10619;10710	1081;1082;1083;3733;6584;6585;6586;8046;9702;9703;9704;10591;10592;10593;10594;10595;14699;14700;14701;15100;25086;25087;25286;25287;25288;25289;25290	1291;1292;4280;4281;7420;7421;7422;7423;9074;10895;10896;10897;11866;11867;11868;11869;11870;16383;16384;16385;16824;27831;27832;27833;28064;28065;28066;28067;28068	1291;4281;7420;9074;10896;11866;11868;11870;16384;16824;27833;28066	156	268
Tb11.v5.0826.1-p1;Tb927.7.6860:mRNA-p1	Tb11.v5.0826.1-p1;Tb927.7.6860:mRNA-p1	2;2	2;2	2;2	;	2	2	2	2	2	2	2	2	2	2	5.6	5.6	5.6	50.162	464	464;480	6.1	2	6	5			5	3		0	42.957	By MS/MS	By MS/MS	5.6	5.6	18653000	14868000	3784200	888220	708020	180200	4021900	2330800	13	13	26				198	4296;8606	True;True	4665;4666;9501	10777;10778;10779;10780;10781;10782;10783;10784;10785;10786;10787;10788;10789;10790;10791;10792;22449;22450;22451;22452;22453	12092;12093;12094;12095;12096;12097;12098;12099;12100;12101;12102;12103;12104;12105;12106;12107;12108;12109;12110;12111;12112;12113;24887;24888;24889;24890	12113;24889	157	419
Tb11.v5.0827.1-p1;Tb927.2.4230:mRNA-p1	Tb11.v5.0827.1-p1;Tb927.2.4230:mRNA-p1	2;2	2;2	2;2	;	2	2	2	2	1	2	1	2	1	2	8.9	8.9	8.9	75.242	676	676;3647	7.67	1				2				0	14.644	By MS/MS	By MS/MS	4.4	8.9	985360	124460	860900	26631	3363.8	23267	0	371920	1	2	3				199	67;6255	True;True	69;6800	158;159;15818	179;180;17564	180;17564		
Tb927.9.6320:mRNA-p1;Tb11.v5.0828.1-p1	Tb927.9.6320:mRNA-p1;Tb11.v5.0828.1-p1	2;2	2;2	2;2	;	2	2	2	2	2	1	2	1	2	1	8.2	8.2	8.2	31.904	291	291;294	7.33				2				1	0	12.603	By MS/MS	By MS/MS	8.2	5.2	292410	140420	151990	13924	6686.5	7237.8	0	45818	2	1	3				200	4048;8805	True;True	4404;9707	10235;22919;22920	11478;25389;25390	11478;25389		
Tb927.8.4130:mRNA-p1;Tb927.8.4080:mRNA-p1;Tb927.8.4030:mRNA-p1;Tb11.v5.0861.1-p1	Tb927.8.4130:mRNA-p1;Tb927.8.4080:mRNA-p1;Tb927.8.4030:mRNA-p1;Tb11.v5.0861.1-p1	1;1;1;1	1;1;1;1	1;1;1;1	;;;	4	1	1	1	1	1	1	1	1	1	6.6	6.6	6.6	23.529	211	211;212;212;232	9				1				1	0.0026738	7.4468	By MS/MS	By MS/MS	6.6	6.6	538770	295920	242850	76967	42274	34692	0	73205	1	1	2				201	10669	True	11753	27803;27804	30812;30813	30812		
Tb11.v5.0871.1-p1;Tb927.8.1190:mRNA-p1;Tb927.8.1170:mRNA-p1	Tb11.v5.0871.1-p1;Tb927.8.1190:mRNA-p1;Tb927.8.1170:mRNA-p1	1;1;1	1;1;1	1;1;1	;;	3	1	1	1	1	1	1	1	1	1	4.2	4.2	4.2	33.978	310	310;331;331	9				1				1	0.0026824	7.5122	By MS/MS	By MS/MS	4.2	4.2	165040	44338	120710	13754	3694.8	10059	0	36387	1	1	2				202	320	True	335	841;842	989;990	990		
Tb927.4.5300:mRNA-p1;Tb11.v5.0880.1-p1;Tb927.4.5240:mRNA-p1;Tb927.4.5290:mRNA-p1;Tb927.4.5280:mRNA-p1;Tb927.4.5270:mRNA-p1;Tb927.4.5260:mRNA-p1;Tb927.4.5250:mRNA-p1	Tb927.4.5300:mRNA-p1;Tb11.v5.0880.1-p1;Tb927.4.5240:mRNA-p1;Tb927.4.5290:mRNA-p1;Tb927.4.5280:mRNA-p1;Tb927.4.5270:mRNA-p1;Tb927.4.5260:mRNA-p1;Tb927.4.5250:mRNA-p1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	;;;;;;;	8	1	1	1	1	1	1	1	1	1	4.5	4.5	4.5	39.322	336	336;373;382;400;400;400;400;400	8			1				1		0.0035806	6.9038	By MS/MS	By MS/MS	4.5	4.5	164810	55069	109740	10987	3671.3	7316	0	25998	2	2	4				203	2824	True	3075	7263;7264	8132;8133;8134;8135	8133		
Tb927.11.14600:mRNA-p1;Tb11.v5.1026.1-p1	Tb927.11.14600:mRNA-p1;Tb11.v5.1026.1-p1	3;3	3;3	3;3	;	2	3	3	3	0	3	0	3	0	3	10.2	10.2	10.2	44.481	403	403;403	13							3		0	28.09		By MS/MS	0	10.2	736110	0	736110	29444	0	29444	0	174390	0	3	3				204	1260;4108;8903	True;True;True	1351;4466;9820	3314;10378;23176	3813;11635;25663	3813;11635;25663		
