Gene_id,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides DEAC2,Peptides SM,Razor + unique peptides DEAC2,Razor + unique peptides SM,Unique peptides DEAC2,Unique peptides SM,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Fraction 2,Fraction 3,Fraction 4,Fraction 11,Fraction 12,Fraction 13,Fraction 14,Q-value,Score,Identification type DEAC2,Identification type SM,Sequence coverage DEAC2 [%],Sequence coverage SM [%],Intensity,Intensity DEAC2,Intensity SM,iBAQ,iBAQ DEAC2,iBAQ SM,LFQ intensity DEAC2,LFQ intensity SM,MS/MS count DEAC2,MS/MS count SM,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Gene_desc,Log2 H/L,Log10 (Int H*L),Group,Glycosome status ,log2_DEAC2,log2_ibaq_DEAC2,log2_int_DEAC2,log10_int
Tb927.7.2140,Tb927.7.2140:mRNA-p1;Tb07.11L3.90:mRNA-p1,Tb927.7.2140:mRNA-p1;Tb07.11L3.90:mRNA-p1,10;10,10;10,10;10,;,2,10,10,10,8,10,8,10,8,10,37.0,37.0,37.0,40.864000000000004,376,376;376,9.71,,,,12.0,,,,16.0,0.0,98.109,By MS/MS,By MS/MS,33.2,37.0,41799000,18258000,23541000,3483300.0,1521500.0,1961700.0,6068400,5554300.0,16,22,38,,,,82,2115;2747;3207;4130;4646;6084;6699;7766;8207;9515,True;True;True;True;True;True;True;True;True;True,2296;2995;3479;4490;5061;5062;6620;6621;7386;7387;8606;9068;10488,5499;5500;5501;7099;8221;8222;10427;10428;11761;11762;11763;11764;15372;15373;17270;17271;17272;17273;17274;17275;20351;20352;20353;20354;21358;21359;24780;24781,6192;6193;6194;6195;6196;6197;7974;9257;9258;11681;11682;13179;13180;13181;13182;13183;13184;13185;17156;17157;19247;19248;19249;19250;19251;19252;19253;19254;22625;22626;22627;22628;22629;23688;23689;27494;27495;27496,6197;7974;9257;11681;13185;17157;19247;22628;23688;27496,63;64,56;134,"zinc finger protein family member, putative",0.307004573,14.47453969,i,red,-0.43609911480667357,-0.36652995426227303,-0.3662519950382389,7.6211658918306115
Tb08.27P2.160,Tb08.27P2.160:pseudogenic_transcript-p1;Tb927.3.430:pseudogenic_transcript-p1;Tb11.0700:pseudogenic_transcript-p1;Tb10.v4.0101:pseudogenic_transcript-p1;Tb927.9.620:pseudogenic_transcript-p1;Tb10.v4.0147:pseudogenic_transcript-p1;Tb08.27P2.520:pseudogenic_transcript-p1;Tb927.11.19900:pseudogenic_transcript-p1;Tb11.57.0050.1-p1;Tb927.11.18800.1-p1;Tb927.11.19120.1-p1;Tb11.0220:pseudogenic_transcript-p1;Tb10.v4.0074:pseudogenic_transcript-p1;Tb10.v4.0255:pseudogenic_transcript-p1;Tb09.v4.0172:pseudogenic_transcript-p1;Tb927.11.20150:pseudogenic_transcript-p1;Tb927.5.4760:pseudogenic_transcript-p1;Tb927.3.160:pseudogenic_transcript-p1;Tb927.11.17180:mRNA-p1;Tb927.1.5340:pseudogenic_transcript-p1;Tb927.11.20560:pseudogenic_transcript-p1;Tb927.11.18040:mRNA-p1;Tb08.27P2.250:pseudogenic_transcript-p1;Tb927.8.230:pseudogenic_transcript-p1,Tb08.27P2.160:pseudogenic_transcript-p1;Tb927.3.430:pseudogenic_transcript-p1,5;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0;1;1;0;0;1;0;0;0,1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,;,24,5,2,1,3,5,1,2,1,1,10.7,7.7,4.7,41.846000000000004,364,364;209;187;224;231;290;341;358;363;122;162;221;226;308;322;326;327;338;338;349;359;359;366;367,9.0,,1.0,1.0,1.0,,,2.0,2.0,0.0,13.107999999999999,By MS/MS,By MS/MS,7.4,10.7,28882000,12058000,16824000,1698900.0,709290.0,989640.0,3473500,0.0,2,4,6,,,,83,1980;2723;4974;7429;8619,True;False;False;False;True,2148;2969;5426;8245;9515,5182;5183;7045;7046;7047;7048;12658;12659;12660;12661;19427;19428;19429;19430;22473;22474;22475;22476;22477,5848;5849;7916;7917;7918;14153;14154;14155;14156;14157;21632;21633;21634;21635;24915;24916;24917;24918,5848;7917;14154;21635;24915,,,"expression site-associated gene 3 (ESAG3), degenerate",,,,,-0.7369655941662062,-0.4803112323672125,-0.47977575060750266,7.460627263651389
Tb927.9.15660,Tb927.9.15660:mRNA-p1;Tb09.v4.0009:mRNA-p1,Tb927.9.15660:mRNA-p1;Tb09.v4.0009:mRNA-p1,2;2,1;1,1;1,;,2,2,1,1,2,1,1,0,1,0,2.3,1.1,1.1,137.52,1242,1242;1242,2.0,,2.0,,,,,,,0.0029121,10.804,By MS/MS,By matching,2.3,1.1,435290,435290,0,6595.3,6595.3,0.0,207340,0.0,2,0,2,,,,84,3962;9109,True;False,4308;4309;10042,10052;10053;23688;23689;23690,11277;11278;26225;26226;26227;26228;26229;26230,11278;26227,65,1032,procyclic-enriched flagellar receptor adenylate cyclase 6,0.330443668,14.33225746,i,red,1.584962500721156,4.209975948690008,4.359432337990976,5.638778690142226
Tb927.9.15680,Tb927.9.15680:pseudogenic_transcript-p1;Tb09.v4.0010:mRNA-p1,Tb927.9.15680:pseudogenic_transcript-p1;Tb09.v4.0010:mRNA-p1,2;2,2;2,2;2,;,2,2,2,2,2,0,2,0,2,0,5.1,5.1,5.1,45.056000000000004,411,411;451,2.0,,2.0,,,,,,,0.0029053,10.717,By MS/MS,,5.1,0.0,221980,221980,0,10571.0,10571.0,0.0,179700,0.0,2,0,2,,,,85,4828;5587,True;True,5267;6081,12251;14090,13717;15664,13717;15664,,,transferrin receptor subunit,,,,,1.584962500721156,4.860957025892934,3.453890538620249,5.3463138470591165
Tb09.v4.0067,Tb09.v4.0067:pseudogenic_transcript-p1,Tb09.v4.0067:pseudogenic_transcript-p1,5,1,1,,1,5,1,1,5,2,1,0,1,0,7.3,2.0,2.0,62.718,548,548,2.0,,3.0,,,,,,,0.0028935,10.662,By MS/MS,By matching,7.3,3.3,781350,781350,0,26943.0,26943.0,0.0,363670,0.0,3,0,3,,,,86,2484;6861;7978;10162;11063,False;True;False;False;False,2708;2709;7616;7617;8829;11190;12182,6477;6478;6479;6480;17888;17889;17890;20776;26435;26436;26437;28748,7308;7309;7310;7311;19952;19953;19954;23071;29414;29415;31834;31835,7308;19954;23071;29414;31834,66;67,500;521,"retrotransposon hot spot protein, pseudogene",,,,,2.0,6.1802684919075945,5.171955000639377,5.892845616488378
Tb09.v4.0150,Tb09.v4.0150:pseudogenic_transcript-p1,Tb09.v4.0150:pseudogenic_transcript-p1,3,3,3,,1,3,3,3,1,3,1,3,1,3,10.4,10.4,10.4,39.842,355,355,11.5,,,,1.0,,,,3.0,0.0,20.452,By MS/MS,By MS/MS,3.7,10.4,1624200,837210,787000,77343.0,39867.0,37476.0,0,237240.0,1,3,4,,,,87,3616;4166;10896,True;True;True,3936;4529;11993,9271;9272;10499;28352,10399;10400;11760;31398,10399;11760;31398,,,"variant surface glycoprotein (VSG, pseudogene), putative",,,,,-1.0,0.08836667442598366,0.08684066252554475,6.210642180043727
Tb09.v4.0154,Tb09.v4.0154:pseudogenic_transcript-p1,Tb09.v4.0154:pseudogenic_transcript-p1,3,1,1,,1,3,1,1,2,3,0,1,0,1,8.0,5.2,5.2,40.514,364,364,13.5,,,,,,,1.0,1.0,0.0036194,7.01,By matching,By MS/MS,2.7,8.0,512530,0,512530,36609.0,0.0,36609.0,0,127170.0,0,1,1,,,,88,2939;2940;6172,False;False;True,3201;3202;6712,7575;7576;7577;7578;7579;7580;7581;7582;15618;15619,8517;8518;8519;8520;8521;8522;17390,8517;8519;17390,,,"expression site-associated gene 3 (ESAG3, pseudogene), putative",,,,,-1.0,-6.617294017349083,-4.5844608485328475,5.7097192910997725
Tb927.10.4430,Tb927.10.4430:mRNA-p1;Tb10.v4.0033:mRNA-p1;Tb11.v5.0767.1-p1,Tb927.10.4430:mRNA-p1;Tb10.v4.0033:mRNA-p1;Tb11.v5.0767.1-p1,4;4;3,4;4;3,4;4;3,;;,3,4,4,4,3,4,3,4,3,4,10.1,10.1,10.1,63.851000000000006,572,572;572;503,9.25,,,3.0,,,,5.0,,0.0,82.374,By MS/MS,By MS/MS,7.2,10.1,3151200,563420,2587700,105040.0,18781.0,86258.0,259960,519370.0,4,7,11,,,,90,568;3832;7595;8699,True;True;True;True,602;4172;8423;9599,1515;1516;9791;19898;19899;19900;22673;22674,1796;1797;10999;22147;22148;22149;22150;22151;25127;25128;25129,1797;10999;22147;25128,,,pumillo RNA binding protein PUF1,-0.244250595,16.03209343,i,red,-0.6780719051126377,-2.1770188600974567,-2.1557820271019135,6.498464942160193
Tb927.10.4440,Tb927.10.4440:mRNA-p1;Tb10.v4.0034:mRNA-p1,Tb927.10.4440:mRNA-p1;Tb10.v4.0034:mRNA-p1,1;1,1;1,1;1,;,2,1,1,1,1,0,1,0,1,0,5.2,5.2,5.2,30.901999999999997,287,287;287,4.0,,,,1.0,,,,,0.0074405,6.569,By MS/MS,,5.2,0.0,210930,210930,0,19175.0,19175.0,0.0,59905,0.0,0,0,0,,,,91,8145,True,9003,21190,23504,23504,,,predicted SAP domain protein,0.533847984,12.74463209,i,red,0.0,5.69762153379844,3.3871059217832964,5.324138352655017
Tb927.10.4450,Tb927.10.4450:mRNA-p1;Tb11.v5.0757.1-p1;Tb10.v4.0035:mRNA-p1,Tb927.10.4450:mRNA-p1;Tb11.v5.0757.1-p1;Tb10.v4.0035:mRNA-p1,2;2;2,2;2;2,2;2;2,;;,3,2,2,2,1,2,1,2,1,2,7.4,7.4,7.4,28.425,257,257;257;257,10.7,,,,1.0,,,,2.0,0.0,14.806,By MS/MS,By MS/MS,3.9,7.4,792430,434620,357810,44024.0,24146.0,19878.0,0,107860.0,1,3,4,,,,92,518;6015,True;True,549;6544,1400;1401;15181,1653;1654;1655;16909,1655;16909,,,"stress-inducible protein STI1-like, putative",,,,,-1.0,0.2758607427006258,0.2655297166091039,5.898960908799661
Tb927.10.4310,Tb927.10.4310:mRNA-p1;Tb10.v4.0045:mRNA-p1,Tb927.10.4310:mRNA-p1;Tb10.v4.0045:mRNA-p1,9;9,9;9,9;9,;,2,9,9,9,5,8,5,8,5,8,35.9,35.9,35.9,32.215,295,295;295,10.2,,,,5.0,,,,8.0,0.0,67.883,By MS/MS,By MS/MS,22.4,30.5,10737000,1933500,8804000,511310.0,92070.0,419240.0,585430,2617600.0,4,8,12,,,,93,978;1540;2606;2885;7050;7142;8404;9947;10351,True;True;True;True;True;True;True;True;True,1053;1659;2844;3139;7826;7927;9283;10964;11392,2703;2704;3945;6780;7463;18380;18662;18663;21896;21897;25902;26946;26947,3154;3155;4519;7617;8399;20500;20779;20780;24281;24282;28791;29923;29924,3154;4519;7617;8399;20500;20780;24282;28791;29924,,,"prohibitin 2, putative",0.383836061,16.94327881,i,red,-0.84799690655495,-2.1823780038667064,-2.1740545300388456,7.030903176839299
Tb10.v4.0052,Tb10.v4.0052:mRNA-p1;Tb927.10.10360:mRNA-p1;Tb10.v4.0053:mRNA-p1,Tb10.v4.0052:mRNA-p1;Tb927.10.10360:mRNA-p1;Tb10.v4.0053:mRNA-p1,6;5;5,6;5;5,2;2;2,;;,3,6,6,2,5,6,5,6,2,2,48.5,48.5,10.8,561.21,4880,4880;3198;4119,6.95,8.0,1.0,,,13.0,,,,0.0,71.28699999999999,By MS/MS,By MS/MS,48.3,48.5,106000000,3526100,102470000,281160.0,9353.2,271810.0,2927400,44149000.0,9,17,26,,,,94,1784;1785;7709;8813;9648;9649,True;True;True;True;True;True,1938;1939;8546;9715;10637;10638;10639;10640,4729;4730;4731;4732;4733;4734;4735;4736;4737;20158;22939;22940;22941;22942;25126;25127;25128;25129;25130;25131;25132;25133,5365;5366;5367;5368;5369;5370;5371;5372;5373;5374;22425;25411;25412;25413;25414;25415;25416;27879;27880;27881;27882;27883;27884;27885;27886;27887,5369;5374;22425;25414;27880;27884,71;72,17;169,microtubule-associated protein 2,,,,,-0.84799690655495,-4.806023496325871,-4.852206208080272,8.025289886211574
Tb10.v4.0217,Tb10.v4.0217:mRNA-p1,Tb10.v4.0217:mRNA-p1,1,1,1,,1,1,1,1,0,1,0,1,0,1,3.7,3.7,3.7,31.377,294,294,13.5,,,,,,,1.0,1.0,0.006490300000000001,6.6193,,By MS/MS,0.0,3.7,482800,0,482800,30175.0,0.0,30175.0,0,125220.0,0,1,1,,,,95,9344,True,10297,24339;24340,27002,27002,,,hypothetical protein,,,,,-1.0,-6.341579341672275,-4.501948227896722,5.683767261425311
Tb927.11.7213,Tb927.11.7213:mRNA-p1;Tb11.02.5080b.1-p1,Tb927.11.7213:mRNA-p1;Tb11.02.5080b.1-p1,7;7,7;7,7;7,;,2,7,7,7,3,7,3,7,3,7,15.1,15.1,15.1,43.715,391,391;391,10.7,,,2.0,3.0,,,7.0,6.0,0.0,51.451,By MS/MS,By MS/MS,9.2,15.1,4006700,1440500,2566200,308210.0,110800.0,197400.0,542860,508030.0,3,11,14,,,,96,2670;5126;5147;6907;7889;9460;10569,True;True;True;True;True;True;True,2911;5595;5617;7667;8734;10430;11640,6914;6915;13010;13011;13060;13061;17980;17981;17982;17983;17984;20581;24633;24634;24635;27518;27519;27520,7767;7768;14517;14568;20058;20059;20060;20061;22853;27329;27330;30531;30532;30533,7767;14517;14568;20059;22853;27329;30532,,,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative",,,,,-1.5849625007211563,-0.8310178372069,-0.823387217685111,6.60278682603088
Tb11.02.5420b,Tb11.02.5420b.1-p1;Tb11.02.5420:mRNA-p1,Tb11.02.5420b.1-p1;Tb11.02.5420:mRNA-p1,11;11,3;3,3;3,;,2,11,3,3,9,9,2,3,2,3,18.9,6.5,6.5,69.959,631,631;631,9.5,,,2.0,,,1.0,3.0,,0.0,20.086,By MS/MS,By MS/MS,16.0,16.0,2280700,1126100,1154500,71271.0,35192.0,36079.0,478310,263660.0,4,5,9,,,,97,268;1153;2253;3465;5266;5819;5984;6407;7587;9669;10029,True;False;False;False;True;False;False;True;False;False;False,282;1239;2446;3764;5743;6326;6511;6963;8415;10664;11051,746;747;3077;5818;5819;5820;8850;8851;13358;13359;14717;14718;14719;14720;15128;16233;16234;19885;25192;25193;26120;26121,878;879;880;3554;6555;6556;9970;9971;14896;14897;16401;16402;16853;18106;18107;18108;18109;22132;27962;27963;29067;29068,879;3554;6555;9970;14896;16402;16853;18108;22132;27962;29067,,,"NADPH-cytochrome p450 reductase, putative",,,,,-0.2630344058337938,-0.03553612762036159,-0.035244158591355594,6.358049119986747
Tb927.6.4980,Tb927.6.4980:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb11.0390:mRNA-p1;Tb11.0290:mRNA-p1,Tb927.6.4980:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb11.0390:mRNA-p1;Tb11.0290:mRNA-p1,8;8;8;8,8;8;8;8,8;8;8;8,;;;,4,8,8,8,6,8,6,8,6,8,43.8,43.8,43.8,15.513,144,144;144;144;144,10.1,,,,7.0,,,,11.0,0.0,64.192,By MS/MS,By MS/MS,40.3,43.8,37882000,15034000,22848000,5411700.0,2147700.0,3264000.0,4810700,6245000.0,8,13,21,,,,98,190;1137;1357;4326;4327;4421;8608;10190,True;True;True;True;True;True;True;True,200;201;1222;1460;4699;4700;4802;9503;11218;11219,530;531;3044;3045;3046;3047;3541;3542;10875;10876;10877;10878;11106;11107;22455;22456;26489;26490,603;604;605;3518;3519;3520;3521;4064;4065;4066;4067;12197;12198;12199;12200;12451;12452;24892;24893;29465;29466,603;3519;4064;12198;12200;12451;24892;29465,73;74,68;69,40S ribosomal protein S14,-0.172902257,17.63468592,i,red,-0.6374299206152917,-0.6037620353930138,-0.6031082727873104,7.578432899740808
Tb927.11.7690,Tb927.11.7690.1-p1;Tb11.0320:mRNA-p1,Tb927.11.7690.1-p1;Tb11.0320:mRNA-p1,3;3,3;3,3;3,;,2,3,3,3,3,1,3,1,3,1,3.4,3.4,3.4,104.87,933,933;933,4.2,,3.0,1.0,,,1.0,,,0.0,21.614,By MS/MS,By MS/MS,3.4,1.4,1290100,1242100,48050,27450.0,26427.0,1022.3,645500,0.0,3,1,4,,,,99,2242;3370;6375,True;True;True,2432;3661;6930,5793;8611;8612;8613;16163,6526;9710;9711;18039,6526;9710;18039,,,hypothetical protein,,,,,1.0,4.259934975439886,4.167913647012885,6.110640206721828
