,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides DM-dig,Peptides DM-tx,Peptides TbGPI12-dig,Peptides TbGPI12-tx,Razor + unique peptides DM-dig,Razor + unique peptides DM-tx,Razor + unique peptides TbGPI12-dig,Razor + unique peptides TbGPI12-tx,Unique peptides DM-dig,Unique peptides DM-tx,Unique peptides TbGPI12-dig,Unique peptides TbGPI12-tx,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Fraction 2,Fraction 11,Fraction 12,Fraction 31,Fraction 32,Fraction 41,Fraction 42,Q-value,Score,Identification type DM-dig,Identification type DM-tx,Identification type TbGPI12-dig,Identification type TbGPI12-tx,Sequence coverage DM-dig [%],Sequence coverage DM-tx [%],Sequence coverage TbGPI12-dig [%],Sequence coverage TbGPI12-tx [%],Intensity,Intensity DM-dig,Intensity DM-tx,Intensity TbGPI12-dig,Intensity TbGPI12-tx,iBAQ,iBAQ DM-dig,iBAQ DM-tx,iBAQ TbGPI12-dig,iBAQ TbGPI12-tx,LFQ intensity DM-dig,LFQ intensity DM-tx,LFQ intensity TbGPI12-dig,LFQ intensity TbGPI12-tx,MS/MS count DM-dig,MS/MS count DM-tx,MS/MS count TbGPI12-dig,MS/MS count TbGPI12-tx,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Gene_id,Gene_desc
67,Tb11.02.5410b:mRNA-p1;Tb11.02.5410:mRNA-p1,Tb11.02.5410b:mRNA-p1;Tb11.02.5410:mRNA-p1,2;2,2;2,2;2,;,2,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,8.5,8.5,8.5,32.366,295,295;295,21.0,2.0,,,,,,2.0,,0.0,13.513,By MS/MS,By MS/MS,,,8.5,8.5,0.0,0.0,237440,136030,101410,0,0,23744.0,13603.0,10141.0,0.0,0.0,136210.0,88725,0,0.0,2,3,0,0,5,,,,67,1907;3255,True;True,2072;3527,4446;4447;7750;7751,5137;5138;9139;9140;9141,5137;9139,,,Tb11.02.5410b,"ubiquitin activating enzyme, putative"
68,Tb927.6.4980:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb11.0390:mRNA-p1;Tb11.0290:mRNA-p1,Tb927.6.4980:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb11.0390:mRNA-p1;Tb11.0290:mRNA-p1,1;1;1;1,1;1;1;1,1;1;1;1,;;;,4,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,9.0,9.0,9.0,15.513,144,144;144;144;144,13.8,1.0,1.0,1.0,,,,1.0,,0.00093985,7.582000000000001,By MS/MS,By MS/MS,By MS/MS,,9.0,9.0,9.0,0.0,680540,373740,252480,54332,0,97221.0,53391.0,36068.0,7761.7,0.0,270240.0,0,0,0.0,2,1,1,0,4,,,,68,2374,True,2570,5558;5559;5560;5561,6531;6532;6533;6534,6534,,,Tb927.6.4980,40S ribosomal protein S14
69,Tb11.0400:mRNA-p1;Tb927.11.7700.1-p1;Tb11.0300:mRNA-p1,Tb11.0400:mRNA-p1;Tb927.11.7700.1-p1;Tb11.0300:mRNA-p1,13;12;12,13;12;12,13;12;12,;;,3,13,13,13,7,12,2,3,7,12,2,3,7,12,2,3,51.9,51.9,51.9,27.701,241,241;241;241,29.0,7.0,1.0,2.0,,3.0,,20.0,1.0,0.0,88.609,By MS/MS,By MS/MS,By MS/MS,By MS/MS,32.8,46.1,8.3,13.3,19331000,1395600,17462000,118200,355310,1288800.0,93041.0,1164100.0,7879.8,23687.0,1710900.0,14300000,547110,3728100.0,10,39,3,3,55,,,,69,398;399;1075;2511;2512;2791;3005;3583;4303;4595;5594;5802;5879,True;True;True;True;True;True;True;True;True;True;True;True;True,425;426;1168;2720;2721;3030;3253;3932;4718;5029;6130;6364;6365;6447,887;888;889;890;891;892;893;2503;2504;2505;5960;5961;5962;6670;7105;7106;8622;10321;10322;10323;10324;11025;11026;11027;11028;13638;13639;13640;13641;14147;14148;14149;14314;14315,995;996;997;998;999;1000;1001;1002;1003;1004;1005;1006;2888;2889;2890;2891;7015;7016;7017;7018;7868;7869;8387;8388;8389;10154;12182;12183;12184;12185;13016;13017;13018;13019;13020;13021;13022;13023;13024;13025;13026;13027;16257;16258;16259;16260;16261;16262;16871;16872;16873;16874;16875;16876;17069;17070,1001;1005;2891;7015;7017;7868;8387;10154;12184;13025;16257;16872;17069,60;61;62,1;12;63,Tb11.0400,"P27 protein, putative"
70,Tb927.10.1140:mRNA-p1;Tb11.0530:mRNA-p1,Tb927.10.1140:mRNA-p1;Tb11.0530:mRNA-p1,3;3,3;3,3;3,;,2,3,3,3,3,0,0,0,3,0,0,0,3,0,0,0,7.2,7.2,7.2,53.167,487,487;487,1.75,1.0,3.0,,,,,,,0.0,20.750999999999998,By MS/MS,,,,7.2,0.0,0.0,0.0,334180,334180,0,0,0,13367.0,13367.0,0.0,0.0,0.0,101870.0,0,0,0.0,2,0,0,0,2,,,,70,2023;2214;2711,True;True;True,2203;2405;2943,4744;5181;5182;6483,5482;6008;7628,5482;6008;7628,,,Tb927.10.1140,epsilon tubulin
71,Tb11.0840:mRNA-p1;Tb927.11.720:mRNA-p1,Tb11.0840:mRNA-p1;Tb927.11.720:mRNA-p1,2;2,2;2,2;2,;,2,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,9.2,9.2,9.2,29.807,261,261;264,1.0,3.0,,,,,,,,0.0,12.982000000000001,By MS/MS,,,,9.2,0.0,0.0,0.0,182220,182220,0,0,0,16566.0,16566.0,0.0,0.0,0.0,182220.0,0,0,0.0,3,0,0,0,3,,,,71,675;4100,True;True,723;4506,1574;1575;9881,1838;1839;11671,1838;11671,,,Tb11.0840,hypothetical protein
72,Tb927.4.1100:mRNA-p1;Tb927.11.680:mRNA-p1;Tb11.0880:mRNA-p1,Tb927.4.1100:mRNA-p1;Tb927.11.680:mRNA-p1;Tb11.0880:mRNA-p1,3;3;3,3;3;3,3;3;3,;;,3,3,3,3,2,3,2,0,2,3,2,0,2,3,2,0,22.0,22.0,22.0,18.015,159,159;159;159,14.0,3.0,3.0,2.0,,,,3.0,,0.0,18.262999999999998,By MS/MS,By MS/MS,By MS/MS,,13.2,22.0,13.2,0.0,1193300,900280,218310,74732,0,149170.0,112530.0,27289.0,9341.5,0.0,731530.0,231600,272420,0.0,5,3,2,0,10,,,,72,2151;4754;5184,True;True;True,2342;5204;5675,5051;5052;5053;5054;5055;5056;11435;11436;11437;11438;12525,5867;5868;5869;5870;13525;13526;13527;13528;13529;14954,5868;13527;14954,,,Tb927.4.1100,"ribosomal protein L21E (60S), putative"
73,Tb11.1420:mRNA-p1;Tb11.1370.1-p1;Tb927.11.1850:mRNA-p1,Tb11.1420:mRNA-p1;Tb11.1370.1-p1;Tb927.11.1850:mRNA-p1,2;2;2,2;2;2,2;2;2,;;,3,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,6.4,6.4,6.4,50.917,440,440;440;495,1.67,1.0,2.0,,,,,,,0.00098814,11.068,By MS/MS,,,,6.4,0.0,0.0,0.0,146040,146040,0,0,0,4710.9,4710.9,0.0,0.0,0.0,46143.0,0,0,0.0,1,0,0,0,1,,,,73,538;705,True;True,572;758,1231;1655;1656,1425;1917,1425;1917,,,Tb11.1420,hypothetical protein
74,Tb927.11.1840:mRNA-p1;Tb11.1380.1-p1,Tb927.11.1840:mRNA-p1;Tb11.1380.1-p1,7;7,7;7,7;7,;,2,7,7,7,6,0,0,4,6,0,0,4,6,0,0,4,22.6,22.6,22.6,45.633,399,399;399,14.5,,7.0,,,,5.0,,,0.0,56.461999999999996,By MS/MS,,,By MS/MS,20.1,0.0,0.0,13.3,1044000,763340,0,0,280680,47455.0,34697.0,0.0,0.0,12758.0,112180.0,0,0,228900.0,7,0,0,7,14,,,,74,358;1202;1227;2454;4327;4780;4968,True;True;True;True;True;True;True,381;1306;1333;2657;2658;4743;5231;5436,787;2792;2876;2877;5814;5815;5816;5817;10384;11486;11487;11970,885;3229;3315;3316;3317;6847;6848;6849;6850;12250;13604;13605;13606;14202,885;3229;3315;6848;12250;13605;14202,63,127,Tb927.11.1840,"hypothetical protein, conserved"
75,Tb927.11.1830:mRNA-p1;Tb11.1390.1-p1,Tb927.11.1830:mRNA-p1;Tb11.1390.1-p1,2;2,2;2,2;2,;,2,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,3.7,3.7,3.7,62.035,570,570;570,1.0,2.0,,,,,,,,0.0,11.214,By MS/MS,,,,3.7,0.0,0.0,0.0,35136,35136,0,0,0,1464.0,1464.0,0.0,0.0,0.0,35136.0,0,0,0.0,2,0,0,0,2,,,,75,623;5359,True;True,664;5869,1462;13015,1712;15505,1712;15505,,,Tb927.11.1830,"hypothetical protein, conserved"
76,Tb927.7.4670:mRNA-p1;Tb11.v5.0152.1-p1,Tb927.7.4670:mRNA-p1;Tb11.v5.0152.1-p1,1;1,1;1,1;1,;,2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,4.0,4.0,4.0,32.715,301,301;330,41.0,,,,,,,1.0,,0.0025751,6.8423,,By MS/MS,,,0.0,4.0,0.0,0.0,86453,0,86453,0,0,9605.9,0.0,9605.9,0.0,0.0,0.0,75796,0,0.0,0,1,0,0,1,,,,76,5871,True,6438,14297,17048,17048,,,Tb927.7.4670,ribosomal RNA processing protein 4
77,Tb927.7.4720:mRNA-p1;Tb11.v5.0155.1-p1,Tb927.7.4720:mRNA-p1;Tb11.v5.0155.1-p1,1;1,1;1,1;1,;,2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,5.0,5.0,5.0,25.059,238,238;238,41.0,,,,,,,1.0,,0.0064154,6.3731,,By MS/MS,,,0.0,5.0,0.0,0.0,39144,0,39144,0,0,4349.3,0.0,4349.3,0.0,0.0,0.0,34318,0,0.0,0,1,0,0,1,,,,77,2072,True,2261,4874,5656,5656,,,Tb927.7.4720,hypothetical protein
78,Tb927.7.4750:mRNA-p1;Tb11.v5.0158.1-p1,Tb927.7.4750:mRNA-p1;Tb11.v5.0158.1-p1,1;1,1;1,1;1,;,2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2.9,2.9,2.9,45.395,413,413;413,2.0,,1.0,,,,,,,0.0056957,6.4946,By MS/MS,,,,2.9,0.0,0.0,0.0,50144,50144,0,0,0,2785.8,2785.8,0.0,0.0,0.0,11913.0,0,0,0.0,1,0,0,0,1,,,,78,4917,True,5379,11870,14077,14077,,,Tb927.7.4750,"hypothetical protein, conserved"
79,Tb927.7.4810:mRNA-p1;Tb11.v5.0163.1-p1,Tb927.7.4810:mRNA-p1;Tb11.v5.0163.1-p1,4;4,4;4,4;4,;,2,4,4,4,4,0,0,1,4,0,0,1,4,0,0,1,9.6,9.6,9.6,52.176,458,458;458,8.0,,4.0,,,,1.0,,,0.0,32.782,By MS/MS,,,By MS/MS,9.6,0.0,0.0,3.3,413090,383330,0,0,29763,16524.0,15333.0,0.0,0.0,1190.5,91071.0,0,0,0.0,6,0,0,1,7,,,,79,729;2003;3999;5324,True;True;True;True,784;2182;4398;5829,1720;4701;4702;9694;12899,1989;5433;5434;5435;5436;11453;15371,1989;5435;11453;15371,,,Tb927.7.4810,"HD domain containing protein, putative"
80,Tb927.7.4840:mRNA-p1;Tb11.v5.0166.1-p1,Tb927.7.4840:mRNA-p1;Tb11.v5.0166.1-p1,2;2,2;2,2;2,;,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,2,8.7,8.7,8.7,38.168,334,334;334,17.0,,2.0,,,,2.0,,,0.0,14.544,By MS/MS,,,By MS/MS,8.7,0.0,0.0,8.7,524100,404820,0,0,119280,29117.0,22490.0,0.0,0.0,6626.8,95315.0,0,0,82606.0,3,0,0,3,6,,,,80,3622;5513,True;True,3987;6043,8763;8764;13433;13434,10344;10345;16023;16024;16025;16026,10344;16026,,,Tb927.7.4840,"hypothetical protein, conserved"
81,Tb927.7.4910:mRNA-p1;Tb11.v5.0172.1-p1,Tb927.7.4910:mRNA-p1;Tb11.v5.0172.1-p1,1;1,1;1,1;1,;,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,3.3,3.3,3.3,40.483000000000004,369,369;369,32.0,,,,,,1.0,,,0.0,21.825,,,,By MS/MS,0.0,0.0,0.0,3.3,100110,0,0,0,100110,4352.8,0.0,0.0,0.0,4352.8,0.0,0,0,68609.0,0,0,0,2,2,,,,81,682,True,733,1606,1869;1870,1870,,,Tb927.7.4910,"hypothetical protein, conserved"
82,Tb927.7.4960:mRNA-p1;Tb11.v5.0177.1-p1,Tb927.7.4960:mRNA-p1;Tb11.v5.0177.1-p1,5;5,5;5,5;5,;,2,5,5,5,5,0,0,0,5,0,0,0,5,0,0,0,12.4,12.4,12.4,50.163000000000004,459,459;459,2.0,,6.0,,,,,,,0.0,42.477,By MS/MS,,,,12.4,0.0,0.0,0.0,733170,733170,0,0,0,40732.0,40732.0,0.0,0.0,0.0,157760.0,0,0,0.0,6,0,0,0,6,,,,82,3078;3102;3825;4173;4391,True;True;True;True;True,3336;3362;4209;4581;4582;4813,7335;7384;9288;10023;10024;10571,8653;8703;10974;11839;11840;12479,8653;8703;10974;11839;12479,64,388,Tb927.7.4960,"hypothetical protein, conserved"
83,Tb927.7.5020:mRNA-p1;Tb927.7.5000:mRNA-p1;Tb11.v5.0182.1-p1;Tb11.v5.0181.1-p1,Tb927.7.5020:mRNA-p1;Tb927.7.5000:mRNA-p1;Tb11.v5.0182.1-p1;Tb11.v5.0181.1-p1,3;3;3;3,3;3;3;3,3;3;3;3,;;;,4,3,3,3,3,2,1,1,3,2,1,1,3,2,1,1,10.8,10.8,10.8,29.408,260,260;260;260;260,16.0,3.0,3.0,1.0,,,1.0,2.0,1.0,0.0,19.458,By MS/MS,By MS/MS,By MS/MS,By MS/MS,10.8,8.1,3.5,4.6,1203900,388360,706880,23983,84642,150480.0,48545.0,88359.0,2997.8,10580.0,117020.0,719180,0,0.0,4,2,1,1,8,,,,83,2800;3988;5593,True;True;True,3039;4387;6129,6685;6686;9663;9664;9665;9666;13633;13634;13635;13636;13637,7887;11411;11412;11413;16253;16254;16255;16256,7887;11411;16255,,,Tb927.7.5020,"60S ribosomal protein L19, putative"
84,Tb927.10.6030:mRNA-p1;Tb11.v5.0196.1-p1,Tb927.10.6030:mRNA-p1;Tb11.v5.0196.1-p1,6;6,6;6,6;6,;,2,6,6,6,2,5,0,0,2,5,0,0,2,5,0,0,32.3,32.3,32.3,29.353,266,266;266,29.6,2.0,,,,,,5.0,,0.0,44.12,By MS/MS,By MS/MS,,,9.0,28.2,0.0,0.0,689330,137770,551560,0,0,43083.0,8610.8,34472.0,0.0,0.0,0.0,483560,0,0.0,3,11,0,0,14,,,,84,1715;2118;2968;3441;3788;3801,True;True;True;True;True;True,1862;2308;3214;3724;4167;4181,3997;4971;4972;7017;8142;9183;9218,4622;4623;5770;5771;5772;5773;8283;8284;9578;9579;10854;10855;10856;10892,4623;5773;8284;9579;10854;10892,,,Tb927.10.6030,"proteasome subunit alpha type-1, putative"
85,Tb927.10.6060:mRNA-p1;Tb11.v5.0199.1-p1,Tb927.10.6060:mRNA-p1;Tb11.v5.0199.1-p1,5;5,5;5,5;5,;,2,5,5,5,4,3,2,0,4,3,2,0,4,3,2,0,52.1,52.1,52.1,21.836,213,213;213,13.9,8.0,,2.0,,,,4.0,,0.0,50.093,By MS/MS,By MS/MS,By MS/MS,,46.0,21.6,15.5,0.0,1758700,1297600,331140,130030,0,117250.0,86504.0,22076.0,8669.0,0.0,825090.0,296600,822650,0.0,12,5,2,0,19,,,,85,85;86;87;1070;1862,True;True;True;True;True,90;91;92;1162;2025;2026,184;185;186;187;188;2488;2489;2490;2491;2492;4350;4351;4352;4353,229;230;231;232;233;234;2870;2871;2872;2873;2874;2875;2876;2877;5017;5018;5019;5020;5021,229;232;234;2872;5021,65;66,94;99,Tb927.10.6060,universal minicircle sequence binding protein 2
