Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Razor + unique peptides 1	Unique peptides 1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Identification type 1	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L 1	Ratio H/L normalized 1	Ratio H/L variability [%] 1	Ratio H/L count 1	Ratio H/L iso-count 1	Ratio H/L type 1	Sequence coverage 1 [%]	Intensity	Intensity L	Intensity H	Intensity 1	Intensity L 1	Intensity H 1	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb11.v5.1020.1-p1	Tb11.v5.1020.1-p1	5	2	2		1	5	2	2	5	2	2	6.9	3.2	3.2	62.306	554	554	1	3						0	10.101	By MS/MS	0.87833	0.84597	13.423	3	0	Median	0.87833	0.84597	13.423	3	0	Median	6.9	2614300	1437500	1176900	2614300	1437500	1176900				203	1704;2094;3401;5537;5663	True;True;False;False;False	1784;2196;3552;5810;5811;5970	2363;2898;2899;4720;7733;7734;7928;7929	3238;3239;4030;4031;4032;4033;4034;6589;10672;10673;10674;10933;10934;10935	3238;4033;6589;10672;10935	131	1
Tb927.10.3340:mRNA-p1;Tb11.v5.1022.1-p1	Tb927.10.3340:mRNA-p1;Tb11.v5.1022.1-p1	2;2	2;2	2;2	;	2	2	2	2	2	2	2	2.4	2.4	2.4	98.706	891	891;891	1	2						0	7.971	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	2.4	249210	153660	95548	249210	153660	95548				204	1049;5012	True;True	1089;5223	1467;6997	2044;9671;9672	2044;9671		
Tb927.11.11330:mRNA-p1;Tb11.v5.1035.1-p1;Tb11.v5.1034.1-p1	Tb927.11.11330:mRNA-p1;Tb11.v5.1035.1-p1	29;29;8	29;29;8	22;22;8	;	3	29	29	22	29	29	22	46.4	46.4	34.3	71.408	661	661;689;203	2.44	15	50	4	9	5	4	0	239.31	By MS/MS	0.98347	0.92564	109.85	41	5	Leave out requantified	0.98347	0.92564	109.85	41	5	Leave out requantified	46.4	325310000	162650000	162660000	325310000	162650000	162660000				205	715;824;900;950;1045;1103;2177;2352;2532;2736;3278;3839;4214;4437;5260;5261;5493;5653;5734;5898;5905;5945;6198;6376;7011;7395;7738;8035;8416	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	740;852;933;985;1085;1149;2284;2464;2652;2860;3428;4000;4394;4395;4625;5479;5480;5746;5747;5960;6043;6044;6217;6224;6225;6266;6528;6710;7365;7769;7770;8128;8433;8834;8835	977;1122;1123;1124;1125;1126;1257;1258;1322;1323;1324;1325;1326;1327;1454;1455;1456;1457;1458;1459;1460;1539;2998;3244;3245;3246;3247;3248;3493;3494;3779;3780;3781;4554;4555;5329;5330;5331;5332;5333;5891;5892;5893;6197;6198;6199;6200;7318;7319;7320;7645;7646;7647;7648;7913;8022;8023;8323;8324;8332;8333;8334;8335;8336;8337;8338;8392;8393;8730;8731;8971;9854;10433;10434;10435;10942;10943;10944;11330;11331;11332;11333;11334;11891;11892;11893;11894	1365;1556;1557;1558;1559;1560;1561;1562;1764;1765;1766;1855;1856;1857;1858;1859;1860;1861;1862;1863;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2137;2138;2139;2140;4170;4502;4503;4504;4505;4506;4507;4508;4509;4510;4861;4862;5285;5286;5287;6333;6334;6335;7450;7451;7452;7453;7454;8225;8226;8227;8594;8595;8596;8597;10095;10096;10097;10531;10532;10533;10534;10910;10911;11058;11059;11481;11482;11493;11494;11495;11496;11497;11498;11499;11569;11570;12017;12018;12330;12331;13518;13519;13520;14319;14320;14321;15018;15019;15020;15021;15022;15023;15592;15593;15594;15595;15596;15597;15598;15599;15600;15601;15602;16412;16413;16414;16415	1365;1561;1765;1860;2030;2138;4170;4508;4861;5286;6334;7452;8227;8596;10096;10097;10534;10910;11059;11481;11496;11569;12018;12331;13520;14320;15022;15597;16413	132;133;134;135;136;137	61;87;123;128;350;552
Tb927.10.2110:mRNA-p1;Tb927.10.2100:mRNA-p1;Tb927.10.2090:mRNA-p1;Tb11.v5.1046.1-p1	Tb927.10.2110:mRNA-p1;Tb927.10.2100:mRNA-p1;Tb927.10.2090:mRNA-p1;Tb11.v5.1046.1-p1	25;25;25;25	25;25;25;25	25;25;25;25	;;;	4	25	25	25	25	25	25	62.8	62.8	62.8	49.105	449	449;449;449;449	3.19	10	10	20	37	1	2	0	84.869	By MS/MS	1.0737	1.0193	228.25	20	11	Leave out requantified	1.0737	1.0193	228.25	20	11	Leave out requantified	62.8	470530000	234600000	235930000	470530000	234600000	235930000				206	1812;2284;2358;2625;2958;3137;3138;3785;4999;5418;5606;5839;6053;6072;6233;6287;6590;6747;7110;7176;8054;8192;8202;8921;8922	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1897;2394;2471;2746;2747;3088;3281;3282;3945;5210;5646;5647;5906;5907;5908;6152;6380;6399;6564;6565;6619;6929;7092;7093;7468;7536;8453;8454;8599;8609;8610;9362;9363	2509;2510;3159;3258;3610;3611;3612;3613;3614;3615;3616;3617;3618;3619;3620;3621;3622;4097;4341;4342;5259;5260;5261;5262;5263;5264;5265;6980;6981;6982;7504;7505;7506;7507;7508;7509;7510;7511;7512;7844;7845;7846;7847;8201;8202;8547;8548;8569;8778;8779;8854;8855;9246;9247;9468;9469;9470;10006;10007;10008;10009;10102;11355;11356;11357;11358;11359;11360;11361;11362;11564;11565;11577;11578;11579;12569;12570;12571;12572;12573	3476;3477;4385;4522;5028;5029;5030;5031;5032;5033;5034;5035;5036;5037;5038;5039;5040;5041;5711;6037;6038;7338;7339;7340;7341;7342;7343;7344;7345;7346;7347;7348;7349;7350;7351;7352;7353;7354;7355;7356;7357;7358;7359;7360;7361;7362;7363;7364;7365;7366;7367;7368;9646;9647;9648;10339;10340;10341;10342;10343;10344;10345;10346;10347;10818;10819;10820;10821;10822;11309;11310;11311;11778;11779;11807;12080;12081;12177;12178;12702;12703;13002;13003;13004;13720;13721;13722;13723;13841;15632;15633;15634;15635;15636;15637;15638;15639;15640;15641;15642;15945;15946;15964;15965;15966;15967;17367;17368;17369;17370;17371	3477;4385;4522;5036;5711;6037;6038;7342;9647;10341;10820;11310;11778;11807;12080;12177;12703;13004;13721;13841;15636;15945;15967;17369;17370	138;139;140;141;142;143;144;145;146;147	8;148;155;201;208;222;260;282;392;398
Tb927.3.4330:mRNA-p1;Tb927.3.4320:mRNA-p1;Tb927.3.4310:mRNA-p1;Tb927.3.4300:mRNA-p1;Tb927.3.4290:mRNA-p1;Tb11.v5.1055.1-p1	Tb927.3.4330:mRNA-p1;Tb927.3.4320:mRNA-p1;Tb927.3.4310:mRNA-p1;Tb927.3.4300:mRNA-p1;Tb927.3.4290:mRNA-p1;Tb11.v5.1055.1-p1	11;11;11;11;11;11	11;11;11;11;11;11	11;11;11;11;11;11	;;;;;	6	11	11	11	11	11	11	23.4	23.4	23.4	68.682	589	589;589;589;589;589;589	2.14	2	11				1	0	27.147	By MS/MS	1.2671	1.2019	15.889	7	3	Leave out requantified	1.2671	1.2019	15.889	7	3	Leave out requantified	23.4	3073800	1686300	1387500	3073800	1686300	1387500				207	114;156;2015;3799;6173;6293;6351;7014;7639;7679;8875	True;True;True;True;True;True;True;True;True;True;True	117;161;2113;3959;6503;6625;6685;7369;8025;8066;9313	153;154;218;2797;5280;8693;8862;8940;9858;9859;10816;10864;12507;12508	221;222;311;3889;7387;11974;12187;12289;12290;13525;13526;14855;14920;14921;17278;17279	221;311;3889;7387;11974;12187;12289;13526;14855;14920;17279		
Tb927.11.3600:mRNA-p1;Tb927.11.3590:mRNA-p1;Tb11.v5.1059.1-p1	Tb927.11.3600:mRNA-p1;Tb927.11.3590:mRNA-p1;Tb11.v5.1059.1-p1	19;19;19	19;19;19	19;19;19	;;	3	19	19	19	19	19	19	53.8	53.8	53.8	30.644	273	273;273;273	3.58	4	3		29	2		0	65.71	By MS/MS	0.98954	0.98644	5.8086	26	4	Leave out requantified	0.98954	0.98644	5.8086	26	4	Leave out requantified	53.8	104120000	55188000	48932000	104120000	55188000	48932000				208	825;1078;1199;1361;2769;3549;3776;3957;3958;3994;4195;4305;4729;4748;5223;8763;8769;8904;9129	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	853;1122;1252;1422;2893;3702;3935;4129;4130;4167;4373;4374;4489;4927;4946;5439;9199;9200;9206;9343;9344;9588;9589	1127;1128;1504;1505;1673;1885;3818;4919;5242;5243;5244;5515;5516;5584;5585;5586;5863;5864;5865;6010;6602;6628;7272;7273;7274;12367;12368;12369;12370;12378;12379;12543;12544;12545;12546;12547;12878;12879	1563;1564;2094;2095;2096;2314;2599;5336;6854;7313;7314;7315;7316;7317;7318;7724;7725;7726;7836;7837;7838;7839;7840;8196;8197;8198;8347;9137;9163;10027;10028;10029;10030;17082;17083;17084;17085;17086;17087;17088;17089;17099;17100;17101;17102;17328;17329;17330;17331;17332;17333;17334;17792;17793	1563;2096;2314;2599;5336;6854;7318;7725;7726;7838;8197;8347;9137;9163;10027;17084;17100;17331;17793	148;149;150;151	60;84;179;229
Tb427.BES40.22:mRNA-p1	Tb427.BES40.22:mRNA-p1	3	3	3		1	3	3	3	3	3	3	10.5	10.5	10.5	51.041	476	476	4.67	1		1	1	2	4	0	24.016	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	10.5	0	0	0	0	0	0				209	3666;4716;6119	True;True;True	3823;4914;6449	5084;5085;5086;5087;6581;6582;8624;8625;8626	7094;7095;7096;7097;7098;7099;9106;9107;9108;11882;11883;11884	7099;9107;11882		
Tb927.1.1060:mRNA-p1	Tb927.1.1060:mRNA-p1	2	2	2		1	2	2	2	2	2	2	8.5	8.5	8.5	33.034	305	305	4				2			0	10.926	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	8.5	136700	68462	68233	136700	68462	68233				210	3979;6867	True;True	4151;7217	5545;9677	7773;7774;13266	7774;13266		
Tb927.1.1080:mRNA-p1	Tb927.1.1080:mRNA-p1	4	4	4		1	4	4	4	4	4	4	12.6	12.6	12.6	53.61	485	485	3.25			3	1			0	28.016	By MS/MS	0.96781	0.96025	6.4403	3	0	Leave out requantified	0.96781	0.96025	6.4403	3	0	Leave out requantified	12.6	272290	141040	131250	272290	141040	131250				211	1347;2076;6107;7017	True;True;True;True	1405;2177;6436;7372	1867;2874;8609;9865	2576;3999;11859;13532	2576;3999;11859;13532	152	268
Tb927.1.1175:mRNA-p1	Tb927.1.1175:mRNA-p1	1	1	1		1	1	1	1	1	1	1	16.2	16.2	16.2	8.1775	74	74	4				1			1	-2	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	16.2	409330	183320	226010	409330	183320	226010	+			212	5410	True	5636	7492	10321	10321	153;154	53;58
Tb927.1.120:mRNA-p1;Tb11.0050:pseudogenic_transcript-p1	Tb927.1.120:mRNA-p1	21;1	21;1	5;0		2	21	21	5	21	21	5	23.2	23.2	6.3	98.024	856	856;317	1.15	25	1		1			0	121.36	By MS/MS	1.1689	1.0894	23.226	21	4	Leave out requantified	1.1689	1.0894	23.226	21	4	Leave out requantified	23.2	51106000	23538000	27568000	51106000	23538000	27568000				213	1869;2016;2154;2609;3401;3524;3657;3674;3733;4246;4432;5536;5663;5816;6431;6465;6762;8044;8231;8617;8997	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1957;2114;2260;2261;2730;3552;3677;3813;3831;3832;3892;4428;4620;5809;5970;6126;6766;6800;7109;7110;8442;8641;9048;9443	2594;2798;2974;2975;3593;4720;4881;5071;5095;5096;5097;5186;5934;6192;7732;7928;7929;8169;9038;9079;9491;9492;11344;11618;12166;12688;12689	3602;3603;3890;3891;4136;4137;4138;5002;5003;6589;6802;7075;7112;7113;7114;7236;8269;8587;8588;10670;10671;10933;10934;10935;11266;12428;12484;13033;13034;13035;15617;15618;16015;16016;16017;16797;16798;17515;17516;17517	3602;3890;4136;5002;6589;6802;7075;7112;7236;8269;8587;10671;10935;11266;12428;12484;13034;15617;16016;16797;17517	57;155;156;157;158	1;79;494;647;808
Tb927.1.1210:mRNA-p1	Tb927.1.1210:mRNA-p1	1	1	1		1	1	1	1	1	1	1	5.6	5.6	5.6	16.902	144	144	6						2	0.0068393	1.3254	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	5.6	278440	126090	152350	278440	126090	152350				214	6801	True	7150;7151	9571;9572	13127;13128	13128	159	35
Tb927.1.1340:mRNA-p1	Tb927.1.1340:mRNA-p1	4	4	4		1	4	4	4	4	4	4	8.1	8.1	8.1	79.368	742	742	2.5		3		1			0	30.912	By MS/MS	0.9404	0.89766	19.478	4	0	Leave out requantified	0.9404	0.89766	19.478	4	0	Leave out requantified	8.1	2090500	991370	1099100	2090500	991370	1099100				215	3771;5404;6930;8424	True;True;True;True	3930;5629;7282;8845	5237;7484;9754;11909	7304;10313;13374;16436	7304;10313;13374;16436	160	1
Tb927.1.1380:mRNA-p1;Tb11.v5.0390.1-p1	Tb927.1.1380:mRNA-p1;Tb11.v5.0390.1-p1	10;8	10;8	10;8	;	2	10	10	10	10	10	10	20.4	20.4	20.4	62.615	573	573;437	2.18		10		1			0	31.801	By MS/MS	1.0043	0.95555	10.546	9	1	Leave out requantified	1.0043	0.95555	10.546	9	1	Leave out requantified	20.4	4840800	2300800	2540100	4840800	2300800	2540100				216	2942;3900;4380;4644;4710;4879;5330;7053;7562;7753	True;True;True;True;True;True;True;True;True;True	3072;4064;4567;4839;4908;5080;5552;7410;7943;8143	4080;5438;6128;6129;6486;6573;6802;7400;9936;10687;10962	5686;7626;7627;8500;8501;8982;8983;9098;9405;9406;10204;13622;14675;14676;15045;15046	5686;7627;8501;8982;9098;9405;10204;13622;14676;15045	161	384
Tb927.1.1420:mRNA-p1	Tb927.1.1420:mRNA-p1	4	4	4		1	4	4	4	4	4	4	6.2	6.2	6.2	70.98	663	663	2		4					0	54.057	By MS/MS	1.0908	1.0304	20.356	4	0	Leave out requantified	1.0908	1.0304	20.356	4	0	Leave out requantified	6.2	1932300	937730	994610	1932300	937730	994610				217	286;1442;2691;6324	True;True;True;True	295;1509;2813;6657	404;1986;3721;8906	575;576;2741;2742;5199;12245	575;2742;5199;12245		
Tb927.1.1580:mRNA-p1	Tb927.1.1580:mRNA-p1	3	3	3		1	3	3	3	3	3	3	9	9	9	33.578	301	301	4				3			0	5.135	By MS/MS	0.94284	0.91528	5.713	3	0	Leave out requantified	0.94284	0.91528	5.713	3	0	Leave out requantified	9	1016800	524890	491920	1016800	524890	491920				218	2861;5029;9135	True;True;True	2988;5240;9596	3949;7017;12887	5521;9697;9698;17805;17806	5521;9697;17806		
Tb927.1.1670:mRNA-p1;Tb11.v5.0887.1-p1	Tb927.1.1670:mRNA-p1;Tb11.v5.0887.1-p1	13;7	13;7	13;7	;	2	13	13	13	13	13	13	12.7	12.7	12.7	120.87	1081	1081;566	1	13						0	21.272	By MS/MS	1.1465	1.131	5.0383	6	0	Leave out requantified	1.1465	1.131	5.0383	6	0	Leave out requantified	12.7	3790300	1954600	1835700	3790300	1954600	1835700				219	536;1252;3175;3639;3793;4375;4382;4689;6375;6485;8079;8605;9230	True;True;True;True;True;True;True;True;True;True;True;True;True	553;1306;3321;3795;3953;4562;4569;4885;6709;6821;8479;9035;9697	735;1744;4407;5050;5274;6121;6132;6541;8970;9103;11395;12145;13012	1037;1038;2405;6130;7051;7381;8490;8505;9052;9053;12329;12512;15687;16764;16765;17972	1038;2405;6130;7051;7381;8490;8505;9052;12329;12512;15687;16765;17972	162	87
Tb927.1.1700:mRNA-p1	Tb927.1.1700:mRNA-p1	5	5	5		1	5	5	5	5	5	5	10.8	10.8	10.8	55.093	493	493	2		5					0	24.158	By MS/MS	1.2559	1.1907	12.474	2	0	Median	1.2559	1.1907	12.474	2	0	Median	10.8	1486800	634850	851920	1486800	634850	851920				220	940;4314;4671;5070;6483	True;True;True;True;True	975;4499;4867;5282;6819	1311;6027;6519;7067;9101	1840;8365;9024;9760;9761;12510	1840;8365;9024;9761;12510		
Tb927.1.1720:mRNA-p1	Tb927.1.1720:mRNA-p1	1	1	1		1	1	1	1	1	1	1	3.4	3.4	3.4	43.954	408	408	4				1			0.0034983	1.4572	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	3.4	99080	44168	54912	99080	44168	54912				221	5547	True	5824	7750	10698	10698	163	1
Tb927.1.1730:mRNA-p1	Tb927.1.1730:mRNA-p1	5	5	5		1	5	5	5	5	5	5	8.1	8.1	8.1	75.065	693	693	1	5						0	11.917	By MS/MS	1.0148	1.0008	24.19	4	0	Leave out requantified	1.0148	1.0008	24.19	4	0	Leave out requantified	8.1	2217200	1109400	1107900	2217200	1109400	1107900				222	882;2020;3171;5104;7947	True;True;True;True;True	914;2118;3317;5316;8340	1218;2802;4403;7113;11212	1688;3896;6124;9817;9818;15415	1688;3896;6124;9817;15415		
Tb927.1.1750:mRNA-p1	Tb927.1.1750:mRNA-p1	1	1	1		1	1	1	1	1	1	1	2.1	2.1	2.1	49.619	470	470	2		1					0.0044577	1.4149	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	2.1	0	0	0	0	0	0				223	3805	True	3965	5287	7395	7395		
Tb927.1.180:mRNA-p1;Tb927.1.220:mRNA-p1;Tb927.2.370:mRNA-p1;Tb11.1810b.1-p1;Tb11.1810.1-p1	Tb927.1.180:mRNA-p1;Tb927.1.220:mRNA-p1;Tb927.2.370:mRNA-p1	3;2;2;1;1	1;0;0;0;0	1;0;0;0;0	;;	5	3	1	1	3	1	1	3.4	1.3	1.3	94.488	833	833;833;834;254;254	1	1						0.00052994	1.7859	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	3.4	0	0	0	0	0	0				224	1758;1962;3722	False;False;True	1840;2054;3880	2441;2719;5173	3375;3376;3787;7219	3375;3787;7219		
Tb927.1.1930:mRNA-p1	Tb927.1.1930:mRNA-p1	3	3	3		1	3	3	3	3	3	3	1.4	1.4	1.4	324.21	2903	2903	1	3						0	5.5145	By MS/MS	0.90864	0.91436	12.134	2	0	Median	0.90864	0.91436	12.134	2	0	Median	1.4	275100	146760	128340	275100	146760	128340				225	1670;5279;8437	True;True;True	1748;5498;8859	2322;7340;11924	3177;10124;16458	3177;10124;16458		
Tb927.1.1980:mRNA-p1	Tb927.1.1980:mRNA-p1	1	1	1		1	1	1	1	1	1	1	4	4	4	34.251	300	300	4.5				1	1		0	2.5175	By MS/MS	3.9708	3.9602	0.077507	2	0	Median	3.9708	3.9602	0.077507	2	0	Median	4	282830	59936	222900	282830	59936	222900				226	7371	True	7742	10399;10400	14276;14277	14277		
Tb927.1.2110:mRNA-p1	Tb927.1.2110:mRNA-p1	2	2	2		1	2	2	2	2	2	2	2.5	2.5	2.5	75.538	682	682	1.5	2	2					0	3.2322	By MS/MS	0.5611	0.55697	7.8315	2	0	Median	0.5611	0.55697	7.8315	2	0	Median	2.5	841610	528750	312860	841610	528750	312860				227	502;6992	True;True	517;7345	696;697;9831;9832	982;983;984;13485;13486;13487;13488	982;13486		
Tb927.1.2230:mRNA-p1;Tb927.1.2260:mRNA-p1	Tb927.1.2230:mRNA-p1;Tb927.1.2260:mRNA-p1	2;1	2;1	2;1	;	2	2	2	2	2	2	2	18.7	18.7	18.7	13.535	123	123;129	6						2	0	4.9683	By MS/MS	0.99116	1.021	2.1684	2	0	Median	0.99116	1.021	2.1684	2	0	Median	18.7	1161100	585140	575940	1161100	585140	575940				228	2833;5417	True;True	2960;5645	3905;7503	5457;5458;10337;10338	5458;10337	164	112
Tb927.1.2400:mRNA-p1;Tb927.1.2380:mRNA-p1;Tb927.1.2360:mRNA-p1;Tb927.1.2340:mRNA-p1;Tb11.v5.0468.1-p1	Tb927.1.2400:mRNA-p1;Tb927.1.2380:mRNA-p1;Tb927.1.2360:mRNA-p1;Tb927.1.2340:mRNA-p1;Tb11.v5.0468.1-p1	20;20;20;20;13	20;20;20;20;13	20;20;20;20;13	;;;;	5	20	20	20	20	20	20	57.6	57.6	57.6	49.787	451	451;451;451;451;249	3.64	7	10	23	15	10	13	0	105.89	By MS/MS	0.94946	0.94714	8.1288	47	1	Leave out requantified	0.94946	0.94714	8.1288	47	1	Leave out requantified	57.6	54049000	27288000	26761000	54049000	27288000	26761000				229	275;865;891;967;992;1555;1556;1875;2339;3814;4342;4343;4701;5193;5797;6105;6209;7459;7464;9099	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	284;894;923;1002;1028;1630;1631;1963;2450;3974;4529;4530;4899;5407;6107;6434;6539;7836;7841;9549;9550;9551	385;386;1188;1189;1235;1236;1237;1238;1239;1240;1241;1242;1243;1244;1245;1246;1349;1377;1378;1379;2161;2162;2163;2164;2603;2604;2605;2606;2607;3228;5297;6073;6074;6075;6076;6077;6078;6079;6080;6081;6556;6557;6558;6559;6560;7227;8134;8135;8136;8137;8138;8139;8140;8141;8607;8745;10521;10522;10523;10524;10525;10526;10527;10532;10533;10534;10535;10536;10537;10538;12825;12826;12827;12828;12829;12830;12831;12832	545;546;547;1646;1647;1648;1649;1650;1651;1717;1718;1719;1720;1721;1722;1723;1724;1725;1726;1727;1728;1729;1730;1731;1732;1733;1734;1735;1736;1737;1738;1739;1740;1741;1742;1743;1744;1745;1746;1747;1889;1925;1926;1927;1928;2972;2973;2974;2975;2976;3614;3615;3616;3617;3618;3619;3620;3621;3622;3623;4482;7408;8424;8425;8426;8427;8428;8429;8430;8431;8432;8433;8434;8435;8436;8437;8438;8439;8440;9073;9074;9075;9076;9077;9078;9079;9080;9966;11210;11211;11212;11213;11214;11215;11216;11217;11218;11219;11220;11221;11856;11857;12036;14442;14443;14444;14445;14446;14447;14448;14453;14454;14455;14456;14457;14458;14459;14460;17704;17705;17706;17707;17708;17709;17710;17711;17712;17713;17714;17715;17716;17717;17718;17719;17720;17721;17722;17723;17724	545;1646;1740;1889;1927;2972;2976;3621;4482;7408;8432;8439;9074;9966;11214;11857;12036;14447;14457;17705	165;166;167;168	313;318;377;398
Tb927.1.2550:mRNA-p1;Tb927.1.2530:mRNA-p1;Tb927.1.2510:mRNA-p1;Tb927.1.2490:mRNA-p1;Tb927.1.2470:mRNA-p1;Tb927.1.2450:mRNA-p1;Tb927.1.2430:mRNA-p1	Tb927.1.2550:mRNA-p1;Tb927.1.2530:mRNA-p1;Tb927.1.2510:mRNA-p1;Tb927.1.2490:mRNA-p1;Tb927.1.2470:mRNA-p1;Tb927.1.2450:mRNA-p1;Tb927.1.2430:mRNA-p1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	;;;;;;	7	1	1	1	1	1	1	6	6	6	14.75	133	133;133;133;133;133;133;133	6						1	0	6.6883	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	6	0	0	0	0	0	0				230	7114	True	7472	10013	13728	13728		
Tb927.1.2570:mRNA-p1	Tb927.1.2570:mRNA-p1	10	10	10		1	10	10	10	10	10	10	11.7	11.7	11.7	110.05	982	982	1	10						0	33.197	By MS/MS	0.65395	0.65789	14.853	6	1	Leave out requantified	0.65395	0.65789	14.853	6	1	Leave out requantified	11.7	3425300	1985500	1439800	3425300	1985500	1439800				231	724;2219;2377;2429;2505;4377;4811;5649;6960;8951	True;True;True;True;True;True;True;True;True;True	749;2328;2492;2545;2625;4564;5011;5956;7312;9392	989;3076;3286;3346;3458;6125;6722;7909;9790;12602	1383;1384;4273;4274;4563;4639;4640;4809;8496;8497;9286;10906;13425;17413	1383;4273;4563;4640;4809;8496;9286;10906;13425;17413		
Tb927.1.2580:mRNA-p1	Tb927.1.2580:mRNA-p1	2	2	2		1	2	2	2	2	2	2	6.5	6.5	6.5	42.635	397	397	4				2			0	5.4438	By MS/MS	1.0734	1.0392	8.1246	2	0	Median	1.0734	1.0392	8.1246	2	0	Median	6.5	351750	175910	175830	351750	175910	175830				232	5019;5549	True;True	5230;5826	7006;7752	9685;10700;10701	9685;10700	169	1
Tb927.1.2670:mRNA-p1	Tb927.1.2670:mRNA-p1	1	1	1		1	1	1	1	1	1	1	2.3	2.3	2.3	56.126	513	513	3			1				0.0091655	1.2545	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	2.3	0	0	0	0	0	0				233	3718	True	3876	5169	7214	7214		
Tb927.1.2990:mRNA-p1	Tb927.1.2990:mRNA-p1	5	5	5		1	5	5	5	5	5	5	5.7	5.7	5.7	115.95	1024	1024	1	5						0	10.244	By MS/MS	1.1077	1.0953	15.039	2	0	Median	1.1077	1.0953	15.039	2	0	Median	5.7	1824400	1130600	693730	1824400	1130600	693730				234	303;1190;6484;6660;7281	True;True;True;True;True	312;1243;6820;7000;7647	427;1663;9102;9329;10271	608;2298;12511;12824;12825;14101	608;2298;12511;12825;14101		
Tb927.1.3000:mRNA-p1	Tb927.1.3000:mRNA-p1	2	2	2		1	2	2	2	2	2	2	7.5	7.5	7.5	42.938	402	402	4				3			0	7.1462	By MS/MS	1.6945	1.662	33.554	3	0	Median	1.6945	1.662	33.554	3	0	Median	7.5	594760	202750	392010	594760	202750	392010				235	2845;3768	True;True	2972;3927	3928;5233;5234	5489;7300;7301	5489;7300		
Tb927.1.3010:mRNA-p1	Tb927.1.3010:mRNA-p1	6	6	6		1	6	6	6	6	6	6	18.3	18.3	18.3	40.813	372	372	4				6			0	13.751	By MS/MS	0.9025	0.92564	14.063	4	1	Leave out requantified	0.9025	0.92564	14.063	4	1	Leave out requantified	18.3	4507000	2189500	2317500	4507000	2189500	2317500				236	691;1350;1728;3984;4566;7936	True;True;True;True;True;True	715;1409;1809;4156;4758;8329	941;1871;2402;5556;6386;11200	1324;2581;3308;3309;7788;8850;15393;15394	1324;2581;3308;7788;8850;15393		
Tb927.1.3030:mRNA-p1	Tb927.1.3030:mRNA-p1	1	1	1		1	1	1	1	1	1	1	3.4	3.4	3.4	47.576	416	416	4				1			0.00056657	2.2804	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	3.4	208060	91259	116800	208060	91259	116800				237	1475	True	1543	2025	2795;2796	2795		
Tb927.1.3070:mRNA-p1	Tb927.1.3070:mRNA-p1	6	6	6		1	6	6	6	6	6	6	20.8	20.8	20.8	44.99	413	413	3.38			5	3			0	13.157	By MS/MS	0.97296	0.94886	21.315	5	1	Leave out requantified	0.97296	0.94886	21.315	5	1	Leave out requantified	20.8	3673900	2037500	1636300	3673900	2037500	1636300				238	636;2124;5934;6117;6385;6507	True;True;True;True;True;True	659;2227;2228;6254;6447;6720;6844	864;865;2933;2934;8379;8622;8987;9133	1213;1214;4078;4079;4080;11552;11880;12358;12554;12555	1213;4079;11552;11880;12358;12554	170	159
